Order_ID,Order_Number,Customer_ID,Employee_ID,Shipping_Method_ID,Order_Date,Total_Amount,Order_Status,Is_Active
76,ORD000076,3810,46,4,2026-05-12,1875.24,Delivered,1
77,ORD000077,3880,74,1,2026-05-02,47721.380000000005,Pending,1
78,ORD000078,1779,51,4,2026-03-22,150911.23,Shipped,1
79,ORD000079,3491,38,1,2026-05-26,91751.75,Pending,1
80,ORD000080,874,7,3,2026-02-23,23166.0,Shipped,1
81,ORD000081,4662,14,1,2025-12-12,357969.83,Processing,1
82,ORD000082,503,58,1,2026-02-05,210296.19,Delivered,1
83,ORD000083,1522,87,2,2026-05-30,330527.58999999997,Processing,1
84,ORD000084,1822,31,1,2025-09-21,40276.619999999995,Processing,1
85,ORD000085,2685,43,1,2026-03-28,177653.77000000002,Pending,1
86,ORD000086,992,40,4,2025-12-01,237662.84,Delivered,1
87,ORD000087,216,14,3,2026-05-12,36831.48,Pending,1
88,ORD000088,4194,9,3,2026-01-19,443408.02,Processing,1
89,ORD000089,2049,4,4,2025-11-19,52703.2,Shipped,1
90,ORD000090,2013,56,2,2025-09-12,219548.86,Shipped,1
91,ORD000091,3992,24,3,2025-11-30,287635.07,Processing,1
92,ORD000092,2578,1,2,2026-06-10,434708.7,Pending,1
93,ORD000093,3141,55,1,2025-11-27,54663.520000000004,Pending,1
94,ORD000094,3095,39,2,2025-09-05,18138.22,Delivered,1
95,ORD000095,569,4,1,2025-10-09,78564.01000000001,Processing,1
96,ORD000096,4326,96,5,2025-10-14,186373.21000000002,Pending,1
97,ORD000097,1274,81,5,2025-08-19,22070.489999999998,Delivered,1
98,ORD000098,2839,9,2,2026-02-26,112180.16,Pending,1
99,ORD000099,137,38,3,2025-08-08,171124.93,Shipped,1
100,ORD000100,31,14,3,2025-08-23,292002.44,Pending,1
101,ORD000101,2870,58,5,2025-11-13,32133.3,Processing,1
102,ORD000102,460,26,4,2025-10-30,43669.4,Shipped,1
103,ORD000103,1030,96,2,2026-07-11,32226.2,Shipped,1
104,ORD000104,917,71,2,2025-09-11,298335.33999999997,Processing,1
105,ORD000105,2886,77,2,2025-10-27,88941.19,Shipped,1
106,ORD000106,2426,75,2,2025-11-11,24922.77,Shipped,1
107,ORD000107,3425,63,3,2026-01-28,114554.41,Delivered,1
108,ORD000108,381,21,1,2026-05-06,344503.69,Processing,1
109,ORD000109,4428,22,1,2026-06-22,3582.23,Delivered,1
110,ORD000110,3123,68,1,2025-09-16,30292.77,Processing,1
111,ORD000111,2268,76,5,2025-12-16,766272.31,Delivered,1
112,ORD000112,1420,66,4,2026-04-05,225152.30000000002,Pending,1
113,ORD000113,1340,21,2,2026-02-27,31001.8,Pending,1
114,ORD000114,809,85,1,2026-05-09,175353.91,Pending,1
115,ORD000115,4199,86,5,2026-05-03,2089.37,Shipped,1
116,ORD000116,1954,88,4,2025-09-21,20195.18,Delivered,1
117,ORD000117,1540,88,4,2026-01-12,183284.09,Processing,1
118,ORD000118,2658,65,1,2025-12-25,23867.2,Pending,1
119,ORD000119,1381,92,1,2026-02-12,154100.78,Pending,1
120,ORD000120,318,89,4,2026-06-22,73270.81999999999,Processing,1
121,ORD000121,1131,65,5,2026-03-16,104008.32,Pending,1
122,ORD000122,347,55,5,2025-10-10,43328.64,Processing,1
123,ORD000123,4265,40,2,2026-01-27,468561.18,Processing,1
124,ORD000124,1194,25,1,2026-07-07,8437.96,Pending,1
125,ORD000125,1249,15,1,2025-09-12,17691.399999999998,Shipped,1
126,ORD000126,871,23,2,2026-01-01,91964.04999999999,Processing,1
127,ORD000127,3956,69,5,2026-04-27,338058.99,Delivered,1
128,ORD000128,1346,9,5,2026-07-07,389427.20999999996,Pending,1
129,ORD000129,2441,40,3,2025-12-15,207702.08000000002,Shipped,1
130,ORD000130,4170,88,1,2026-01-03,246415.36000000002,Processing,1
131,ORD000131,1011,77,2,2026-02-02,353115.44,Processing,1
132,ORD000132,4375,61,5,2025-07-22,214423.91999999998,Shipped,1
133,ORD000133,567,52,5,2026-05-17,4569.54,Processing,1
134,ORD000134,3972,11,1,2026-04-07,385878.62,Pending,1
135,ORD000135,4291,86,3,2025-11-09,67612.71,Shipped,1
136,ORD000136,2987,49,2,2026-06-18,108897.38,Pending,1
137,ORD000137,3140,58,3,2025-11-12,92052.58,Processing,1
138,ORD000138,784,59,3,2026-02-25,61631.73,Delivered,1
139,ORD000139,3153,50,4,2026-03-05,896530.87,Shipped,1
140,ORD000140,4822,98,1,2026-03-02,177027.89,Delivered,1
141,ORD000141,1857,2,5,2026-07-09,576380.3600000001,Processing,1
142,ORD000142,1415,98,4,2026-02-18,592657.53,Pending,1
143,ORD000143,3742,18,3,2025-08-31,154523.96,Pending,1
144,ORD000144,4622,86,1,2026-02-21,262306.8,Processing,1
145,ORD000145,767,49,1,2026-06-07,651572.3999999999,Processing,1
146,ORD000146,3976,20,3,2026-06-05,96283.81,Pending,1
147,ORD000147,4118,9,5,2026-05-25,471597.67000000004,Delivered,1
148,ORD000148,4306,8,1,2025-10-29,110187.83,Shipped,1
149,ORD000149,1779,67,3,2025-08-25,139369.66,Pending,1
150,ORD000150,3864,5,5,2026-02-24,477122.91,Pending,1
151,ORD000151,2936,83,3,2026-03-20,107868.04999999999,Processing,1
152,ORD000152,2002,42,5,2026-06-14,266078.33,Shipped,1
153,ORD000153,2868,77,4,2025-10-13,541153.25,Delivered,1
154,ORD000154,1228,99,5,2026-04-17,566246.08,Shipped,1
155,ORD000155,4127,2,3,2026-04-07,200042.05,Shipped,1
156,ORD000156,4972,59,3,2026-03-25,183523.14,Delivered,1
157,ORD000157,2051,36,1,2026-01-31,375373.75,Shipped,1
158,ORD000158,1254,71,4,2025-08-25,339069.56000000006,Processing,1
159,ORD000159,3892,74,3,2025-08-19,121963.63,Processing,1
160,ORD000160,4226,58,4,2026-06-01,49102.119999999995,Shipped,1
161,ORD000161,409,90,3,2025-11-28,28603.730000000003,Delivered,1
162,ORD000162,1498,56,5,2026-05-03,742753.6599999999,Shipped,1
163,ORD000163,4623,91,4,2025-11-30,302279.72000000003,Processing,1
164,ORD000164,5,76,2,2026-01-08,43104.3,Delivered,1
165,ORD000165,3598,60,3,2026-04-29,147432.48,Pending,1
166,ORD000166,1240,59,3,2026-04-07,437873.52,Pending,1
167,ORD000167,4620,95,1,2025-12-16,190258.26,Shipped,1
168,ORD000168,491,86,4,2026-05-21,451389.95,Delivered,1
169,ORD000169,3759,59,1,2025-10-01,28437.55,Processing,1
170,ORD000170,1091,43,4,2026-01-26,75372.43,Delivered,1
171,ORD000171,294,100,2,2026-02-26,94869.56000000001,Pending,1
172,ORD000172,3306,95,2,2025-10-31,5911.12,Shipped,1
173,ORD000173,3500,15,5,2025-11-27,63225.65,Shipped,1
174,ORD000174,4914,59,3,2026-03-30,387410.16000000003,Pending,1
175,ORD000175,1524,76,3,2026-02-14,71665.16,Delivered,1
176,ORD000176,671,50,1,2025-09-09,42778.34,Pending,1
177,ORD000177,453,32,3,2026-03-04,89221.48,Processing,1
178,ORD000178,2827,55,5,2026-03-24,17001.52,Processing,1
179,ORD000179,4887,93,3,2025-09-06,55099.05,Delivered,1
180,ORD000180,470,89,5,2026-07-08,262616.72,Shipped,1
181,ORD000181,1343,97,2,2026-02-06,552374.28,Processing,1
182,ORD000182,1021,13,5,2025-10-27,113470.65,Delivered,1
183,ORD000183,3652,1,5,2025-11-26,97387.18,Pending,1
184,ORD000184,2283,100,5,2025-09-30,192771.91999999998,Pending,1
185,ORD000185,4220,1,3,2025-12-06,533110.23,Pending,1
186,ORD000186,3736,24,3,2025-07-28,311115.13,Delivered,1
187,ORD000187,1546,66,1,2025-08-25,169904.9,Shipped,1
188,ORD000188,4793,59,3,2025-09-25,317250.02,Pending,1
189,ORD000189,29,77,4,2026-06-15,538468.71,Processing,1
190,ORD000190,4034,82,5,2025-12-29,281321.9,Shipped,1
191,ORD000191,3708,74,4,2026-01-26,331600.45999999996,Pending,1
192,ORD000192,3734,15,1,2026-06-08,73434.4,Delivered,1
193,ORD000193,2532,34,1,2026-06-11,116689.8,Shipped,1
194,ORD000194,2435,6,3,2026-05-04,377897.59,Delivered,1
195,ORD000195,1287,53,3,2025-08-14,34379.07,Pending,1
196,ORD000196,983,28,4,2026-06-25,11632.34,Shipped,1
197,ORD000197,3796,55,5,2025-10-18,7835.97,Shipped,1
198,ORD000198,4659,95,5,2026-05-24,254803.37,Pending,1
199,ORD000199,2551,11,4,2025-08-22,4178.74,Processing,1
200,ORD000200,2276,95,5,2025-12-14,182664.18,Pending,1
201,ORD000201,151,29,5,2026-04-04,5095.85,Processing,1
202,ORD000202,2439,66,5,2025-11-23,230158.91999999998,Pending,1
203,ORD000203,2288,91,4,2026-03-28,673428.4999999999,Pending,1
204,ORD000204,241,72,2,2025-07-27,249803.16000000003,Pending,1
205,ORD000205,4389,60,2,2026-01-20,458522.63,Processing,1
206,ORD000206,33,60,2,2025-09-02,276628.65,Processing,1
207,ORD000207,4854,18,3,2025-10-03,153424.79,Shipped,1
208,ORD000208,917,37,1,2025-10-10,113873.86,Pending,1
209,ORD000209,716,9,3,2025-12-15,96955.87000000001,Pending,1
210,ORD000210,154,13,2,2026-05-09,305437.51,Processing,1
211,ORD000211,189,87,4,2026-03-22,295137.21,Processing,1
212,ORD000212,722,14,1,2025-12-29,325500.94,Shipped,1
213,ORD000213,1480,27,5,2026-05-07,341550.5,Shipped,1
214,ORD000214,228,22,5,2026-03-30,757043.04,Processing,1
215,ORD000215,626,57,5,2026-04-15,481911.86,Processing,1
216,ORD000216,4570,85,5,2026-02-20,283804.63,Pending,1
217,ORD000217,3060,71,5,2026-03-15,151734.32,Pending,1
218,ORD000218,3202,27,3,2026-04-07,54873.63,Pending,1
219,ORD000219,4242,67,4,2026-02-25,103042.19,Shipped,1
220,ORD000220,2820,81,4,2026-04-07,325005.08,Shipped,1
221,ORD000221,368,35,1,2025-11-02,39040.83,Shipped,1
222,ORD000222,1050,84,3,2026-01-17,96164.29,Shipped,1
223,ORD000223,4515,34,3,2026-07-11,146690.29,Pending,1
224,ORD000224,4786,30,3,2026-05-24,330683.29000000004,Delivered,1
225,ORD000225,3516,100,5,2025-11-08,199845.3,Processing,1
226,ORD000226,174,9,2,2025-11-02,157595.36,Processing,1
227,ORD000227,3093,73,3,2026-05-03,98839.59,Shipped,1
228,ORD000228,28,73,4,2025-11-22,504380.75,Delivered,1
229,ORD000229,1743,91,5,2025-09-12,63474.24,Delivered,1
230,ORD000230,4859,98,3,2025-12-25,98014.68000000001,Pending,1
231,ORD000231,1898,70,4,2026-01-15,523516.4,Delivered,1
232,ORD000232,3095,67,2,2025-08-20,220321.08000000002,Delivered,1
233,ORD000233,2907,77,2,2026-06-10,128596.08000000002,Shipped,1
234,ORD000234,626,98,1,2026-06-13,59085.36,Shipped,1
235,ORD000235,3965,30,5,2026-01-09,111448.18,Shipped,1
236,ORD000236,3211,89,3,2026-02-08,117819.98999999999,Processing,1
237,ORD000237,1282,83,1,2026-03-21,101680.8,Delivered,1
238,ORD000238,562,10,4,2026-06-21,3760.59,Shipped,1
239,ORD000239,4833,21,4,2025-11-20,23717.18,Processing,1
240,ORD000240,682,26,4,2026-05-14,161699.29,Pending,1
241,ORD000241,4509,82,2,2026-04-16,144447.32,Pending,1
242,ORD000242,4683,62,4,2026-05-21,258395.45,Delivered,1
243,ORD000243,1980,31,4,2026-01-04,57599.520000000004,Pending,1
244,ORD000244,1953,42,4,2025-12-28,115472.79999999999,Shipped,1
245,ORD000245,3384,93,1,2026-06-28,18348.9,Pending,1
246,ORD000246,3569,31,4,2026-06-25,525529.63,Pending,1
247,ORD000247,1216,25,2,2026-04-04,4841.59,Delivered,1
248,ORD000248,30,50,5,2026-05-26,43886.32,Shipped,1
249,ORD000249,2464,76,1,2025-07-19,268264.04,Pending,1
250,ORD000250,4284,38,4,2026-04-05,74497.56,Delivered,1
251,ORD000251,2268,42,2,2025-09-11,219561.18,Shipped,1
252,ORD000252,1252,40,1,2026-05-28,212273.11,Shipped,1
253,ORD000253,3961,96,5,2026-04-18,15998.93,Shipped,1
254,ORD000254,1550,77,4,2026-02-25,267831.05,Shipped,1
255,ORD000255,1670,60,5,2025-12-29,16467.21,Shipped,1
256,ORD000256,4303,74,1,2025-09-12,54100.0,Processing,1
257,ORD000257,1939,52,5,2025-11-15,178051.13,Pending,1
258,ORD000258,3110,89,5,2025-12-21,374541.95999999996,Processing,1
259,ORD000259,3220,50,2,2026-01-06,204050.80000000002,Delivered,1
260,ORD000260,3492,6,1,2025-08-23,30966.390000000003,Pending,1
261,ORD000261,3998,57,5,2025-09-20,388978.23000000004,Pending,1
262,ORD000262,740,80,3,2025-11-20,118432.56,Shipped,1
263,ORD000263,3455,73,5,2026-05-06,46886.4,Pending,1
264,ORD000264,1206,42,1,2026-04-29,63122.74,Delivered,1
265,ORD000265,227,64,2,2025-09-23,76309.04,Delivered,1
266,ORD000266,4214,20,2,2026-06-09,41748.52,Processing,1
267,ORD000267,4870,1,5,2026-03-20,71285.27,Delivered,1
268,ORD000268,1381,89,5,2025-11-17,248280.49000000002,Delivered,1
269,ORD000269,1562,33,3,2026-01-15,97926.1,Pending,1
270,ORD000270,3942,68,5,2026-05-16,5323.63,Shipped,1
271,ORD000271,2969,30,2,2025-07-18,176964.49,Delivered,1
272,ORD000272,4908,37,5,2025-12-07,129504.51999999999,Pending,1
273,ORD000273,1706,15,1,2025-12-24,15881.67,Processing,1
274,ORD000274,1856,100,1,2026-02-11,453267.66000000003,Shipped,1
275,ORD000275,2947,68,1,2025-09-23,341393.65,Processing,1
276,ORD000276,4136,11,2,2025-08-03,75099.73000000001,Processing,1
277,ORD000277,3342,11,5,2025-11-25,28368.97,Shipped,1
278,ORD000278,2736,74,3,2025-12-11,147413.35,Shipped,1
279,ORD000279,588,5,5,2025-08-25,267959.04,Shipped,1
280,ORD000280,1721,77,5,2025-11-02,195262.82,Pending,1
281,ORD000281,1225,30,3,2025-12-15,26337.0,Processing,1
282,ORD000282,4189,16,4,2026-05-08,718771.95,Delivered,1
283,ORD000283,4784,56,3,2026-03-05,46379.95,Shipped,1
284,ORD000284,2164,42,2,2025-08-24,381936.82,Shipped,1
285,ORD000285,66,32,4,2026-06-20,27533.52,Pending,1
286,ORD000286,3581,48,1,2026-06-15,122271.12000000001,Pending,1
287,ORD000287,1998,70,3,2025-09-29,460451.50999999995,Processing,1
288,ORD000288,2764,51,2,2025-08-12,536981.3,Processing,1
289,ORD000289,1852,30,1,2026-06-17,133806.33000000002,Shipped,1
290,ORD000290,1678,11,4,2026-03-03,121002.88,Shipped,1
291,ORD000291,1584,57,1,2025-08-27,516585.60000000003,Delivered,1
292,ORD000292,1032,52,2,2026-06-14,378810.35,Delivered,1
293,ORD000293,3297,73,4,2025-07-24,205487.09,Pending,1
294,ORD000294,2577,70,5,2025-07-19,253545.84,Shipped,1
295,ORD000295,4050,37,4,2026-04-14,28069.42,Delivered,1
296,ORD000296,1727,11,5,2026-07-08,122753.7,Shipped,1
297,ORD000297,2900,93,4,2026-01-04,372856.32,Processing,1
298,ORD000298,4268,19,1,2025-10-30,64281.6,Delivered,1
299,ORD000299,2654,65,2,2026-06-24,14074.7,Delivered,1
300,ORD000300,1877,19,5,2025-08-16,99318.17,Delivered,1
301,ORD000301,1929,54,2,2025-07-28,228083.28,Processing,1
302,ORD000302,1210,3,1,2025-08-13,227402.04,Processing,1
303,ORD000303,4678,97,2,2026-02-07,221827.7,Pending,1
304,ORD000304,874,75,5,2026-05-31,149240.47999999998,Shipped,1
305,ORD000305,4749,90,1,2025-11-28,145056.25,Shipped,1
306,ORD000306,693,58,1,2026-04-24,121353.41999999998,Processing,1
307,ORD000307,4182,66,1,2026-01-04,112016.2,Processing,1
308,ORD000308,449,62,1,2025-08-30,58739.24,Shipped,1
309,ORD000309,3188,80,4,2025-09-30,243420.62,Processing,1
310,ORD000310,3794,77,5,2025-09-02,395824.64,Processing,1
311,ORD000311,834,19,4,2025-11-26,97901.06,Processing,1
312,ORD000312,3410,10,1,2025-09-21,51063.09,Delivered,1
313,ORD000313,4663,21,1,2025-12-11,57385.46,Processing,1
314,ORD000314,3360,54,2,2025-10-13,101116.95999999999,Delivered,1
315,ORD000315,583,59,2,2026-05-12,187869.78,Processing,1
316,ORD000316,2899,78,1,2026-03-02,206131.43,Shipped,1
317,ORD000317,3808,57,5,2026-03-29,113437.72,Processing,1
318,ORD000318,1047,14,2,2026-06-17,106837.01999999999,Delivered,1
319,ORD000319,3483,21,1,2026-04-23,436608.25999999995,Delivered,1
320,ORD000320,630,70,3,2026-04-17,70292.37,Processing,1
321,ORD000321,2313,59,1,2026-04-12,263212.59,Delivered,1
322,ORD000322,330,85,5,2026-06-05,432989.56,Shipped,1
323,ORD000323,3414,11,4,2025-07-24,15023.28,Shipped,1
324,ORD000324,1345,43,3,2026-06-09,549713.53,Delivered,1
325,ORD000325,1164,3,4,2026-04-15,32027.809999999998,Delivered,1
326,ORD000326,4810,14,5,2025-12-31,112531.29,Pending,1
327,ORD000327,2298,75,1,2026-06-25,462990.77999999997,Pending,1
328,ORD000328,2692,60,1,2025-10-04,228727.00999999998,Shipped,1
329,ORD000329,3124,12,1,2026-04-20,687041.46,Processing,1
330,ORD000330,3531,69,5,2026-05-21,165718.09,Pending,1
331,ORD000331,3270,45,4,2026-04-11,177627.42,Delivered,1
332,ORD000332,1202,7,4,2025-12-20,1794.64,Processing,1
333,ORD000333,4486,3,4,2025-09-05,17238.58,Processing,1
334,ORD000334,332,17,5,2026-06-06,178762.65000000002,Delivered,1
335,ORD000335,3307,10,4,2026-03-17,462813.88,Pending,1
336,ORD000336,4989,74,5,2026-04-05,13059.1,Pending,1
337,ORD000337,4146,26,3,2026-02-09,52465.41,Delivered,1
338,ORD000338,504,66,1,2026-02-03,92922.64,Processing,1
339,ORD000339,594,92,4,2025-12-22,35322.6,Pending,1
340,ORD000340,2944,10,5,2025-10-15,254846.93000000002,Delivered,1
341,ORD000341,198,60,5,2025-12-21,522252.16000000003,Pending,1
342,ORD000342,1647,69,5,2026-06-19,170624.31,Processing,1
343,ORD000343,4708,39,1,2025-11-20,583686.77,Pending,1
344,ORD000344,374,12,2,2026-04-26,5164.19,Delivered,1
345,ORD000345,1620,17,4,2025-09-29,387354.95999999996,Pending,1
346,ORD000346,3067,81,1,2026-05-23,6693.88,Delivered,1
347,ORD000347,3273,23,5,2026-05-25,76314.04,Delivered,1
348,ORD000348,2793,53,5,2025-10-16,408408.75,Processing,1
349,ORD000349,3724,89,3,2026-03-04,233188.25,Pending,1
350,ORD000350,287,87,5,2025-12-09,95784.63,Shipped,1
351,ORD000351,875,14,2,2025-10-27,119230.87,Processing,1
352,ORD000352,4022,41,4,2025-07-21,82876.9,Shipped,1
353,ORD000353,3404,94,4,2025-12-24,253882.37,Delivered,1
354,ORD000354,4761,100,2,2026-02-20,111656.28,Pending,1
355,ORD000355,1266,69,2,2025-09-26,30216.31,Delivered,1
356,ORD000356,1882,12,2,2026-06-06,106371.86,Delivered,1
357,ORD000357,4826,30,1,2025-12-02,501525.35000000003,Delivered,1
358,ORD000358,4554,42,3,2025-09-04,125570.04000000001,Shipped,1
359,ORD000359,1545,5,1,2026-04-20,94558.33,Delivered,1
360,ORD000360,347,73,4,2025-09-08,40817.840000000004,Pending,1
361,ORD000361,3396,58,5,2026-04-04,11433.65,Delivered,1
362,ORD000362,2654,64,4,2025-10-06,145430.82,Shipped,1
363,ORD000363,1032,57,1,2026-04-14,447354.9,Processing,1
364,ORD000364,3920,27,2,2026-03-29,265517.67,Delivered,1
365,ORD000365,1336,52,4,2026-04-04,168514.04,Delivered,1
366,ORD000366,1595,23,3,2026-04-08,173875.39,Delivered,1
367,ORD000367,765,55,1,2026-04-14,56208.45,Shipped,1
368,ORD000368,4313,53,5,2026-02-23,155237.19,Delivered,1
369,ORD000369,695,37,4,2025-11-23,27995.93,Pending,1
370,ORD000370,2472,90,5,2025-11-16,20692.77,Processing,1
371,ORD000371,4737,99,3,2025-11-19,100739.48000000001,Shipped,1
372,ORD000372,335,78,4,2026-06-21,12586.92,Shipped,1
373,ORD000373,929,20,5,2026-06-05,163877.59,Shipped,1
374,ORD000374,3219,64,5,2025-11-30,316053.5,Processing,1
375,ORD000375,985,55,1,2025-12-31,80947.53,Processing,1
376,ORD000376,1592,35,5,2026-07-09,261516.91,Shipped,1
377,ORD000377,1221,92,2,2026-01-26,38743.28,Delivered,1
378,ORD000378,1900,53,3,2025-09-15,75406.05,Shipped,1
379,ORD000379,3272,54,2,2026-06-12,212057.76,Pending,1
380,ORD000380,105,65,1,2025-10-19,64091.780000000006,Processing,1
381,ORD000381,3562,36,5,2025-07-14,37508.0,Processing,1
382,ORD000382,1228,44,3,2025-11-18,155097.63,Processing,1
383,ORD000383,663,84,1,2026-05-14,40004.71,Pending,1
384,ORD000384,3827,26,4,2026-04-18,243741.7,Pending,1
385,ORD000385,183,84,3,2025-09-11,77603.48000000001,Shipped,1
386,ORD000386,1121,52,1,2025-08-28,209188.33000000002,Shipped,1
387,ORD000387,2830,64,4,2025-09-25,365535.2,Shipped,1
388,ORD000388,4809,43,3,2025-11-07,195990.71,Shipped,1
389,ORD000389,3554,85,3,2025-08-14,56348.6,Processing,1
390,ORD000390,3660,97,3,2026-04-28,12268.5,Shipped,1
391,ORD000391,2650,32,1,2025-11-03,179556.16999999998,Processing,1
392,ORD000392,3704,35,2,2026-06-18,301803.26,Processing,1
393,ORD000393,4435,26,4,2026-01-01,120104.44,Shipped,1
394,ORD000394,2799,51,3,2025-12-23,297899.54,Pending,1
395,ORD000395,867,89,3,2025-12-10,79489.75,Pending,1
396,ORD000396,4070,75,2,2026-01-21,254854.27000000002,Processing,1
397,ORD000397,2126,33,2,2026-07-01,136402.94,Processing,1
398,ORD000398,3050,32,5,2026-01-18,14389.26,Shipped,1
399,ORD000399,4997,18,5,2025-11-25,523013.51,Processing,1
400,ORD000400,2837,48,1,2026-06-17,339263.61,Shipped,1
401,ORD000401,322,90,5,2026-04-01,60908.23,Delivered,1
402,ORD000402,2997,20,4,2025-11-09,90896.98,Delivered,1
403,ORD000403,1087,94,1,2025-07-24,285818.77,Delivered,1
404,ORD000404,3833,88,4,2026-07-03,81186.23000000001,Processing,1
405,ORD000405,190,4,1,2025-11-04,140674.5,Shipped,1
406,ORD000406,3021,5,4,2026-07-12,428312.79000000004,Delivered,1
407,ORD000407,2884,25,2,2025-12-30,203284.52000000002,Delivered,1
408,ORD000408,3159,11,4,2026-02-24,298555.05,Shipped,1
409,ORD000409,3408,46,5,2025-08-24,24967.28,Delivered,1
