Shipment_ID,Shipment_Number,Order_ID,Warehouse_ID,Shipment_Date,Expected_Delivery_Date,Actual_Delivery_Date,Shipment_Status,Tracking_Number
71,SHP000071,71,5,2026-06-27,2026-07-02,,In Transit,TRK00000071
72,SHP000072,72,5,2025-10-30,2025-11-04,,Pending,TRK00000072
73,SHP000073,73,5,2025-11-18,2025-11-20,2025-11-23,Delivered,TRK00000073
74,SHP000074,74,4,2026-01-01,2026-01-01,2026-01-01,Delivered,TRK00000074
75,SHP000075,75,1,2025-10-09,2025-10-11,,Pending,TRK00000075
76,SHP000076,76,2,2026-05-14,2026-05-21,2026-05-25,Delivered,TRK00000076
77,SHP000077,77,1,2026-05-02,2026-05-07,,Pending,TRK00000077
78,SHP000078,78,4,2026-03-22,2026-03-29,2026-03-31,Delivered,TRK00000078
79,SHP000079,79,3,2026-05-27,2026-06-01,,In Transit,TRK00000079
80,SHP000080,80,4,2026-02-25,2026-02-26,2026-02-25,Delivered,TRK00000080
81,SHP000081,81,4,2025-12-13,2025-12-18,,In Transit,TRK00000081
82,SHP000082,82,5,2026-02-05,2026-02-10,2026-02-11,Delivered,TRK00000082
83,SHP000083,83,2,2026-05-31,2026-06-02,2026-06-02,Delivered,TRK00000083
84,SHP000084,84,5,2025-09-22,2025-09-27,,Pending,TRK00000084
85,SHP000085,85,1,2026-03-30,2026-04-04,2026-04-05,Delivered,TRK00000085
86,SHP000086,86,2,2025-12-03,2025-12-10,2025-12-14,Delivered,TRK00000086
87,SHP000087,87,1,2026-05-14,2026-05-15,2026-05-17,Delivered,TRK00000087
88,SHP000088,88,3,2026-01-21,2026-01-22,2026-01-24,Delivered,TRK00000088
89,SHP000089,89,2,2025-11-20,2025-11-27,,In Transit,TRK00000089
90,SHP000090,90,1,2025-09-12,2025-09-14,,Pending,TRK00000090
91,SHP000091,91,4,2025-12-01,2025-12-02,,Pending,TRK00000091
92,SHP000092,92,3,2026-06-10,2026-06-12,,Pending,TRK00000092
93,SHP000093,93,2,2025-11-29,2025-12-04,,In Transit,TRK00000093
94,SHP000094,94,2,2025-09-05,2025-09-07,,In Transit,TRK00000094
95,SHP000095,95,4,2025-10-11,2025-10-16,2025-10-18,Delivered,TRK00000095
96,SHP000096,96,5,2025-10-14,2025-10-14,,Pending,TRK00000096
97,SHP000097,97,4,2025-08-21,2025-08-21,2025-08-24,Delivered,TRK00000097
98,SHP000098,98,1,2026-02-28,2026-03-02,2026-03-06,Delivered,TRK00000098
99,SHP000099,99,3,2025-08-09,2025-08-10,,Pending,TRK00000099
100,SHP000100,100,4,2025-08-23,2025-08-24,,Pending,TRK00000100
101,SHP000101,101,5,2025-11-13,2025-11-13,2025-11-15,Delivered,TRK00000101
102,SHP000102,102,4,2025-10-30,2025-11-06,,In Transit,TRK00000102
103,SHP000103,103,5,2026-07-13,2026-07-15,2026-07-17,Delivered,TRK00000103
104,SHP000104,104,3,2025-09-12,2025-09-14,2025-09-16,Delivered,TRK00000104
105,SHP000105,105,3,2025-10-27,2025-10-29,,In Transit,TRK00000105
106,SHP000106,106,1,2025-11-11,2025-11-13,2025-11-16,Delivered,TRK00000106
107,SHP000107,107,2,2026-01-29,2026-01-30,2026-02-02,Delivered,TRK00000107
108,SHP000108,108,4,2026-05-07,2026-05-12,,In Transit,TRK00000108
109,SHP000109,109,2,2026-06-23,2026-06-28,,In Transit,TRK00000109
110,SHP000110,110,3,2025-09-18,2025-09-23,,Pending,TRK00000110
111,SHP000111,111,5,2025-12-18,2025-12-18,,Pending,TRK00000111
112,SHP000112,112,1,2026-04-06,2026-04-13,,In Transit,TRK00000112
113,SHP000113,113,5,2026-02-27,2026-03-01,,In Transit,TRK00000113
114,SHP000114,114,2,2026-05-09,2026-05-14,,Pending,TRK00000114
115,SHP000115,115,1,2026-05-05,2026-05-05,,Pending,TRK00000115
116,SHP000116,116,4,2025-09-22,2025-09-29,2025-09-29,Delivered,TRK00000116
117,SHP000117,117,1,2026-01-14,2026-01-21,,In Transit,TRK00000117
118,SHP000118,118,3,2025-12-27,2026-01-01,2025-12-31,Delivered,TRK00000118
119,SHP000119,119,4,2026-02-13,2026-02-18,,In Transit,TRK00000119
120,SHP000120,120,2,2026-06-24,2026-07-01,2026-07-01,Delivered,TRK00000120
121,SHP000121,121,3,2026-03-17,2026-03-17,,Pending,TRK00000121
122,SHP000122,122,2,2025-10-11,2025-10-11,,In Transit,TRK00000122
123,SHP000123,123,2,2026-01-29,2026-01-31,,In Transit,TRK00000123
124,SHP000124,124,3,2026-07-07,2026-07-12,,In Transit,TRK00000124
125,SHP000125,125,1,2025-09-13,2025-09-18,,Pending,TRK00000125
126,SHP000126,126,2,2026-01-03,2026-01-05,,Pending,TRK00000126
127,SHP000127,127,2,2026-04-29,2026-04-29,2026-04-29,Delivered,TRK00000127
128,SHP000128,128,4,2026-07-09,2026-07-09,,In Transit,TRK00000128
129,SHP000129,129,5,2025-12-16,2025-12-17,,In Transit,TRK00000129
130,SHP000130,130,2,2026-01-05,2026-01-10,,In Transit,TRK00000130
131,SHP000131,131,2,2026-02-04,2026-02-06,,Pending,TRK00000131
132,SHP000132,132,2,2025-07-23,2025-07-23,2025-07-23,Delivered,TRK00000132
133,SHP000133,133,2,2026-05-18,2026-05-18,2026-05-19,Delivered,TRK00000133
134,SHP000134,134,5,2026-04-08,2026-04-13,2026-04-16,Delivered,TRK00000134
135,SHP000135,135,4,2025-11-10,2025-11-11,2025-11-15,Delivered,TRK00000135
136,SHP000136,136,1,2026-06-18,2026-06-20,,In Transit,TRK00000136
137,SHP000137,137,4,2025-11-14,2025-11-15,2025-11-17,Delivered,TRK00000137
138,SHP000138,138,2,2026-02-26,2026-02-27,,In Transit,TRK00000138
139,SHP000139,139,1,2026-03-06,2026-03-13,,Pending,TRK00000139
140,SHP000140,140,3,2026-03-02,2026-03-07,2026-03-07,Delivered,TRK00000140
141,SHP000141,141,3,2026-07-10,2026-07-10,2026-07-14,Delivered,TRK00000141
142,SHP000142,142,5,2026-02-20,2026-02-27,,In Transit,TRK00000142
143,SHP000143,143,3,2025-08-31,2025-09-01,,In Transit,TRK00000143
144,SHP000144,144,2,2026-02-23,2026-02-28,,Pending,TRK00000144
145,SHP000145,145,3,2026-06-08,2026-06-13,2026-06-15,Delivered,TRK00000145
146,SHP000146,146,4,2026-06-07,2026-06-08,,Pending,TRK00000146
147,SHP000147,147,1,2026-05-27,2026-05-27,,Pending,TRK00000147
148,SHP000148,148,2,2025-10-31,2025-11-05,,In Transit,TRK00000148
149,SHP000149,149,3,2025-08-25,2025-08-26,,Pending,TRK00000149
150,SHP000150,150,5,2026-02-24,2026-02-24,,In Transit,TRK00000150
151,SHP000151,151,2,2026-03-22,2026-03-23,2026-03-24,Delivered,TRK00000151
152,SHP000152,152,4,2026-06-14,2026-06-14,,Pending,TRK00000152
153,SHP000153,153,2,2025-10-14,2025-10-21,,Pending,TRK00000153
154,SHP000154,154,3,2026-04-18,2026-04-18,2026-04-21,Delivered,TRK00000154
155,SHP000155,155,3,2026-04-07,2026-04-08,2026-04-09,Delivered,TRK00000155
156,SHP000156,156,2,2026-03-26,2026-03-27,2026-03-31,Delivered,TRK00000156
157,SHP000157,157,3,2026-02-01,2026-02-06,,In Transit,TRK00000157
158,SHP000158,158,2,2025-08-26,2025-09-02,,Pending,TRK00000158
159,SHP000159,159,2,2025-08-19,2025-08-20,,Pending,TRK00000159
160,SHP000160,160,4,2026-06-02,2026-06-09,,Pending,TRK00000160
161,SHP000161,161,3,2025-11-29,2025-11-30,,Pending,TRK00000161
162,SHP000162,162,1,2026-05-04,2026-05-04,,Pending,TRK00000162
163,SHP000163,163,5,2025-12-01,2025-12-08,2025-12-08,Delivered,TRK00000163
164,SHP000164,164,3,2026-01-10,2026-01-12,2026-01-14,Delivered,TRK00000164
165,SHP000165,165,3,2026-04-30,2026-05-01,,Pending,TRK00000165
166,SHP000166,166,4,2026-04-09,2026-04-10,2026-04-09,Delivered,TRK00000166
167,SHP000167,167,1,2025-12-17,2025-12-22,,In Transit,TRK00000167
168,SHP000168,168,2,2026-05-21,2026-05-28,,In Transit,TRK00000168
169,SHP000169,169,2,2025-10-01,2025-10-06,,In Transit,TRK00000169
170,SHP000170,170,1,2026-01-26,2026-02-02,2026-02-05,Delivered,TRK00000170
171,SHP000171,171,5,2026-02-26,2026-02-28,2026-03-03,Delivered,TRK00000171
172,SHP000172,172,2,2025-10-31,2025-11-02,,In Transit,TRK00000172
173,SHP000173,173,2,2025-11-27,2025-11-27,,In Transit,TRK00000173
174,SHP000174,174,5,2026-04-01,2026-04-02,,Pending,TRK00000174
175,SHP000175,175,3,2026-02-14,2026-02-15,2026-02-16,Delivered,TRK00000175
176,SHP000176,176,4,2025-09-11,2025-09-16,,In Transit,TRK00000176
177,SHP000177,177,2,2026-03-04,2026-03-05,,Pending,TRK00000177
178,SHP000178,178,5,2026-03-25,2026-03-25,2026-03-26,Delivered,TRK00000178
179,SHP000179,179,2,2025-09-07,2025-09-08,2025-09-08,Delivered,TRK00000179
180,SHP000180,180,4,2026-07-09,2026-07-09,2026-07-08,Delivered,TRK00000180
181,SHP000181,181,5,2026-02-06,2026-02-08,2026-02-07,Delivered,TRK00000181
182,SHP000182,182,5,2025-10-27,2025-10-27,2025-10-31,Delivered,TRK00000182
183,SHP000183,183,2,2025-11-28,2025-11-28,2025-11-30,Delivered,TRK00000183
184,SHP000184,184,2,2025-09-30,2025-09-30,,In Transit,TRK00000184
185,SHP000185,185,3,2025-12-08,2025-12-09,,In Transit,TRK00000185
186,SHP000186,186,5,2025-07-28,2025-07-29,,In Transit,TRK00000186
187,SHP000187,187,4,2025-08-27,2025-09-01,,In Transit,TRK00000187
188,SHP000188,188,4,2025-09-26,2025-09-27,,In Transit,TRK00000188
189,SHP000189,189,3,2026-06-17,2026-06-24,2026-06-26,Delivered,TRK00000189
190,SHP000190,190,4,2025-12-31,2025-12-31,2026-01-02,Delivered,TRK00000190
191,SHP000191,191,2,2026-01-26,2026-02-02,2026-02-03,Delivered,TRK00000191
192,SHP000192,192,1,2026-06-09,2026-06-14,,Pending,TRK00000192
193,SHP000193,193,3,2026-06-12,2026-06-17,,In Transit,TRK00000193
194,SHP000194,194,1,2026-05-05,2026-05-06,,Pending,TRK00000194
195,SHP000195,195,5,2025-08-14,2025-08-15,,In Transit,TRK00000195
196,SHP000196,196,5,2026-06-27,2026-07-04,,Pending,TRK00000196
197,SHP000197,197,5,2025-10-18,2025-10-18,,Pending,TRK00000197
198,SHP000198,198,1,2026-05-25,2026-05-25,,Pending,TRK00000198
199,SHP000199,199,3,2025-08-23,2025-08-30,,In Transit,TRK00000199
200,SHP000200,200,3,2025-12-15,2025-12-15,,Pending,TRK00000200
201,SHP000201,201,1,2026-04-04,2026-04-04,,In Transit,TRK00000201
202,SHP000202,202,4,2025-11-25,2025-11-25,,In Transit,TRK00000202
203,SHP000203,203,1,2026-03-28,2026-04-04,,In Transit,TRK00000203
204,SHP000204,204,2,2025-07-29,2025-07-31,,In Transit,TRK00000204
205,SHP000205,205,4,2026-01-21,2026-01-23,,In Transit,TRK00000205
206,SHP000206,206,4,2025-09-02,2025-09-04,,Pending,TRK00000206
207,SHP000207,207,3,2025-10-05,2025-10-06,,In Transit,TRK00000207
208,SHP000208,208,5,2025-10-10,2025-10-15,,Pending,TRK00000208
209,SHP000209,209,3,2025-12-16,2025-12-17,,Pending,TRK00000209
210,SHP000210,210,5,2026-05-10,2026-05-12,,Pending,TRK00000210
211,SHP000211,211,1,2026-03-22,2026-03-29,,In Transit,TRK00000211
212,SHP000212,212,1,2025-12-31,2026-01-05,,Pending,TRK00000212
213,SHP000213,213,5,2026-05-08,2026-05-08,,In Transit,TRK00000213
214,SHP000214,214,1,2026-03-31,2026-03-31,2026-03-31,Delivered,TRK00000214
215,SHP000215,215,3,2026-04-15,2026-04-15,2026-04-15,Delivered,TRK00000215
216,SHP000216,216,5,2026-02-22,2026-02-22,,In Transit,TRK00000216
217,SHP000217,217,4,2026-03-15,2026-03-15,,In Transit,TRK00000217
218,SHP000218,218,5,2026-04-08,2026-04-09,,Pending,TRK00000218
219,SHP000219,219,5,2026-02-27,2026-03-06,2026-03-06,Delivered,TRK00000219
220,SHP000220,220,2,2026-04-07,2026-04-14,2026-04-14,Delivered,TRK00000220
221,SHP000221,221,5,2025-11-04,2025-11-09,2025-11-08,Delivered,TRK00000221
222,SHP000222,222,5,2026-01-17,2026-01-18,2026-01-20,Delivered,TRK00000222
223,SHP000223,223,1,2026-07-12,2026-07-13,2026-07-17,Delivered,TRK00000223
224,SHP000224,224,2,2026-05-26,2026-05-27,2026-05-30,Delivered,TRK00000224
225,SHP000225,225,4,2025-11-08,2025-11-08,,In Transit,TRK00000225
226,SHP000226,226,2,2025-11-03,2025-11-05,,Pending,TRK00000226
227,SHP000227,227,3,2026-05-04,2026-05-05,,Pending,TRK00000227
228,SHP000228,228,5,2025-11-23,2025-11-30,,In Transit,TRK00000228
229,SHP000229,229,4,2025-09-12,2025-09-12,,Pending,TRK00000229
230,SHP000230,230,1,2025-12-26,2025-12-27,2025-12-31,Delivered,TRK00000230
231,SHP000231,231,1,2026-01-16,2026-01-23,,Pending,TRK00000231
232,SHP000232,232,4,2025-08-21,2025-08-23,,In Transit,TRK00000232
233,SHP000233,233,5,2026-06-11,2026-06-13,,In Transit,TRK00000233
234,SHP000234,234,5,2026-06-14,2026-06-19,,In Transit,TRK00000234
235,SHP000235,235,5,2026-01-11,2026-01-11,,Pending,TRK00000235
236,SHP000236,236,5,2026-02-08,2026-02-09,,Pending,TRK00000236
237,SHP000237,237,1,2026-03-21,2026-03-26,,In Transit,TRK00000237
238,SHP000238,238,3,2026-06-22,2026-06-29,,In Transit,TRK00000238
239,SHP000239,239,2,2025-11-21,2025-11-28,,In Transit,TRK00000239
240,SHP000240,240,2,2026-05-14,2026-05-21,2026-05-24,Delivered,TRK00000240
241,SHP000241,241,2,2026-04-17,2026-04-19,2026-04-19,Delivered,TRK00000241
242,SHP000242,242,2,2026-05-21,2026-05-28,,In Transit,TRK00000242
243,SHP000243,243,2,2026-01-04,2026-01-11,,In Transit,TRK00000243
244,SHP000244,244,5,2025-12-30,2026-01-06,,Pending,TRK00000244
245,SHP000245,245,2,2026-06-30,2026-07-05,,In Transit,TRK00000245
246,SHP000246,246,3,2026-06-27,2026-07-04,,Pending,TRK00000246
247,SHP000247,247,2,2026-04-05,2026-04-07,2026-04-07,Delivered,TRK00000247
248,SHP000248,248,2,2026-05-26,2026-05-26,,In Transit,TRK00000248
249,SHP000249,249,3,2025-07-19,2025-07-24,,In Transit,TRK00000249
250,SHP000250,250,4,2026-04-07,2026-04-14,,In Transit,TRK00000250
251,SHP000251,251,5,2025-09-11,2025-09-13,,Pending,TRK00000251
252,SHP000252,252,1,2026-05-30,2026-06-04,,In Transit,TRK00000252
253,SHP000253,253,1,2026-04-18,2026-04-18,,Pending,TRK00000253
254,SHP000254,254,2,2026-02-26,2026-03-05,,Pending,TRK00000254
255,SHP000255,255,3,2025-12-30,2025-12-30,2025-12-31,Delivered,TRK00000255
256,SHP000256,256,3,2025-09-12,2025-09-17,,In Transit,TRK00000256
257,SHP000257,257,4,2025-11-15,2025-11-15,,Pending,TRK00000257
258,SHP000258,258,3,2025-12-23,2025-12-23,2025-12-26,Delivered,TRK00000258
259,SHP000259,259,1,2026-01-07,2026-01-09,2026-01-11,Delivered,TRK00000259
260,SHP000260,260,3,2025-08-23,2025-08-28,,In Transit,TRK00000260
261,SHP000261,261,3,2025-09-22,2025-09-22,,In Transit,TRK00000261
262,SHP000262,262,5,2025-11-21,2025-11-22,,Pending,TRK00000262
263,SHP000263,263,1,2026-05-06,2026-05-06,2026-05-06,Delivered,TRK00000263
264,SHP000264,264,4,2026-04-29,2026-05-04,,In Transit,TRK00000264
265,SHP000265,265,2,2025-09-25,2025-09-27,2025-09-27,Delivered,TRK00000265
266,SHP000266,266,1,2026-06-11,2026-06-13,,In Transit,TRK00000266
267,SHP000267,267,1,2026-03-20,2026-03-20,2026-03-24,Delivered,TRK00000267
268,SHP000268,268,4,2025-11-18,2025-11-18,2025-11-18,Delivered,TRK00000268
269,SHP000269,269,1,2026-01-16,2026-01-17,,Pending,TRK00000269
270,SHP000270,270,1,2026-05-17,2026-05-17,,In Transit,TRK00000270
271,SHP000271,271,3,2025-07-18,2025-07-20,,In Transit,TRK00000271
272,SHP000272,272,5,2025-12-07,2025-12-07,,In Transit,TRK00000272
273,SHP000273,273,2,2025-12-26,2025-12-31,,Pending,TRK00000273
274,SHP000274,274,2,2026-02-12,2026-02-17,2026-02-18,Delivered,TRK00000274
275,SHP000275,275,4,2025-09-25,2025-09-30,2025-09-29,Delivered,TRK00000275
276,SHP000276,276,4,2025-08-04,2025-08-06,2025-08-06,Delivered,TRK00000276
277,SHP000277,277,3,2025-11-26,2025-11-26,,In Transit,TRK00000277
278,SHP000278,278,4,2025-12-13,2025-12-14,2025-12-16,Delivered,TRK00000278
279,SHP000279,279,3,2025-08-25,2025-08-25,,In Transit,TRK00000279
280,SHP000280,280,1,2025-11-03,2025-11-03,,In Transit,TRK00000280
281,SHP000281,281,4,2025-12-17,2025-12-18,,In Transit,TRK00000281
282,SHP000282,282,4,2026-05-08,2026-05-15,,Pending,TRK00000282
283,SHP000283,283,1,2026-03-06,2026-03-07,,In Transit,TRK00000283
284,SHP000284,284,2,2025-08-25,2025-08-27,,In Transit,TRK00000284
285,SHP000285,285,2,2026-06-20,2026-06-27,,Pending,TRK00000285
286,SHP000286,286,2,2026-06-17,2026-06-22,2026-06-24,Delivered,TRK00000286
287,SHP000287,287,2,2025-09-30,2025-10-01,2025-10-03,Delivered,TRK00000287
288,SHP000288,288,2,2025-08-13,2025-08-15,,Pending,TRK00000288
289,SHP000289,289,2,2026-06-18,2026-06-23,2026-06-24,Delivered,TRK00000289
290,SHP000290,290,3,2026-03-05,2026-03-12,,In Transit,TRK00000290
291,SHP000291,291,2,2025-08-27,2025-09-01,,In Transit,TRK00000291
292,SHP000292,292,4,2026-06-15,2026-06-17,2026-06-19,Delivered,TRK00000292
293,SHP000293,293,3,2025-07-25,2025-08-01,,In Transit,TRK00000293
294,SHP000294,294,5,2025-07-19,2025-07-19,,Pending,TRK00000294
295,SHP000295,295,5,2026-04-14,2026-04-21,,Pending,TRK00000295
296,SHP000296,296,2,2026-07-09,2026-07-09,,In Transit,TRK00000296
297,SHP000297,297,2,2026-01-04,2026-01-11,2026-01-14,Delivered,TRK00000297
298,SHP000298,298,1,2025-10-30,2025-11-04,2025-11-05,Delivered,TRK00000298
299,SHP000299,299,1,2026-06-26,2026-06-28,,In Transit,TRK00000299
300,SHP000300,300,3,2025-08-17,2025-08-17,,Pending,TRK00000300
301,SHP000301,301,1,2025-07-29,2025-07-31,,In Transit,TRK00000301
302,SHP000302,302,5,2025-08-15,2025-08-20,,Pending,TRK00000302
303,SHP000303,303,4,2026-02-09,2026-02-11,,Pending,TRK00000303
304,SHP000304,304,4,2026-05-31,2026-05-31,2026-06-01,Delivered,TRK00000304
305,SHP000305,305,2,2025-11-30,2025-12-05,2025-12-07,Delivered,TRK00000305
306,SHP000306,306,1,2026-04-24,2026-04-29,,In Transit,TRK00000306
307,SHP000307,307,4,2026-01-04,2026-01-09,,In Transit,TRK00000307
308,SHP000308,308,2,2025-08-31,2025-09-05,,Pending,TRK00000308
309,SHP000309,309,5,2025-10-01,2025-10-08,,In Transit,TRK00000309
310,SHP000310,310,4,2025-09-02,2025-09-02,2025-09-01,Delivered,TRK00000310
311,SHP000311,311,3,2025-11-27,2025-12-04,2025-12-08,Delivered,TRK00000311
312,SHP000312,312,5,2025-09-22,2025-09-27,,In Transit,TRK00000312
313,SHP000313,313,4,2025-12-11,2025-12-16,,Pending,TRK00000313
314,SHP000314,314,4,2025-10-15,2025-10-17,2025-10-16,Delivered,TRK00000314
315,SHP000315,315,5,2026-05-14,2026-05-16,,In Transit,TRK00000315
316,SHP000316,316,1,2026-03-02,2026-03-07,,In Transit,TRK00000316
317,SHP000317,317,2,2026-03-30,2026-03-30,2026-03-29,Delivered,TRK00000317
318,SHP000318,318,4,2026-06-18,2026-06-20,,Pending,TRK00000318
319,SHP000319,319,3,2026-04-24,2026-04-29,,In Transit,TRK00000319
320,SHP000320,320,5,2026-04-19,2026-04-20,2026-04-21,Delivered,TRK00000320
321,SHP000321,321,4,2026-04-14,2026-04-19,,Pending,TRK00000321
322,SHP000322,322,1,2026-06-07,2026-06-07,,In Transit,TRK00000322
323,SHP000323,323,2,2025-07-25,2025-08-01,2025-08-01,Delivered,TRK00000323
324,SHP000324,324,1,2026-06-10,2026-06-11,2026-06-15,Delivered,TRK00000324
325,SHP000325,325,1,2026-04-17,2026-04-24,2026-04-23,Delivered,TRK00000325
326,SHP000326,326,2,2026-01-02,2026-01-02,,In Transit,TRK00000326
327,SHP000327,327,3,2026-06-25,2026-06-30,,In Transit,TRK00000327
328,SHP000328,328,5,2025-10-06,2025-10-11,,Pending,TRK00000328
329,SHP000329,329,2,2026-04-21,2026-04-26,,In Transit,TRK00000329
330,SHP000330,330,2,2026-05-22,2026-05-22,2026-05-22,Delivered,TRK00000330
331,SHP000331,331,1,2026-04-12,2026-04-19,,In Transit,TRK00000331
332,SHP000332,332,1,2025-12-21,2025-12-28,2025-12-29,Delivered,TRK00000332
333,SHP000333,333,5,2025-09-07,2025-09-14,,In Transit,TRK00000333
334,SHP000334,334,4,2026-06-08,2026-06-08,,Pending,TRK00000334
335,SHP000335,335,4,2026-03-19,2026-03-26,,Pending,TRK00000335
336,SHP000336,336,3,2026-04-06,2026-04-06,,Pending,TRK00000336
337,SHP000337,337,1,2026-02-09,2026-02-10,2026-02-10,Delivered,TRK00000337
338,SHP000338,338,2,2026-02-04,2026-02-09,,Pending,TRK00000338
