Discount_ID,Order_ID,Discount_Type,Discount_Value,Discount_Reason,Created_Date
91,38,Seasonal Offer,95006.84,Seasonal Offer Applied,2026-07-20
92,8994,Corporate Discount,16804.22,Corporate Discount Applied,2026-07-20
93,40748,Corporate Discount,12971.56,Corporate Discount Applied,2026-07-20
94,35592,Promotional Campaign,10407.43,Promotional Campaign Applied,2026-07-20
95,47654,Promotional Campaign,16204.66,Promotional Campaign Applied,2026-07-20
96,42261,Promotional Campaign,25605.14,Promotional Campaign Applied,2026-07-20
97,48292,Festival Offer,9046.67,Festival Offer Applied,2026-07-20
98,35750,Corporate Discount,9984.04,Corporate Discount Applied,2026-07-20
99,49210,Promotional Campaign,38203.52,Promotional Campaign Applied,2026-07-20
100,21053,New Customer,13131.74,New Customer Applied,2026-07-20
101,23206,Promotional Campaign,40729.73,Promotional Campaign Applied,2026-07-20
102,6611,Seasonal Offer,32845.06,Seasonal Offer Applied,2026-07-20
103,22109,Seasonal Offer,1499.7,Seasonal Offer Applied,2026-07-20
104,19574,Promotional Campaign,29175.75,Promotional Campaign Applied,2026-07-20
105,20471,Festival Offer,32961.42,Festival Offer Applied,2026-07-20
106,8563,Seasonal Offer,1741.56,Seasonal Offer Applied,2026-07-20
107,14637,New Customer,735.65,New Customer Applied,2026-07-20
108,17150,Festival Offer,1358.61,Festival Offer Applied,2026-07-20
109,23108,Corporate Discount,117018.86,Corporate Discount Applied,2026-07-20
110,28756,Corporate Discount,24744.82,Corporate Discount Applied,2026-07-20
111,13564,Promotional Campaign,30928.62,Promotional Campaign Applied,2026-07-20
112,48499,New Customer,2325.69,New Customer Applied,2026-07-20
113,21498,Festival Offer,95.61,Festival Offer Applied,2026-07-20
114,48089,Seasonal Offer,34190.01,Seasonal Offer Applied,2026-07-20
115,42898,Corporate Discount,18290.71,Corporate Discount Applied,2026-07-20
116,20974,Promotional Campaign,10871.78,Promotional Campaign Applied,2026-07-20
117,15595,New Customer,30854.38,New Customer Applied,2026-07-20
118,15263,Seasonal Offer,9015.36,Seasonal Offer Applied,2026-07-20
119,46507,Seasonal Offer,50537.98,Seasonal Offer Applied,2026-07-20
120,7682,Festival Offer,58131.19,Festival Offer Applied,2026-07-20
121,17890,New Customer,6589.36,New Customer Applied,2026-07-20
122,34849,Corporate Discount,14895.66,Corporate Discount Applied,2026-07-20
123,40284,Seasonal Offer,46089.46,Seasonal Offer Applied,2026-07-20
124,48790,Promotional Campaign,19891.05,Promotional Campaign Applied,2026-07-20
125,32663,Corporate Discount,15694.29,Corporate Discount Applied,2026-07-20
126,39519,Corporate Discount,2157.52,Corporate Discount Applied,2026-07-20
127,45912,New Customer,8135.28,New Customer Applied,2026-07-20
128,34813,Seasonal Offer,48847.94,Seasonal Offer Applied,2026-07-20
129,8583,Seasonal Offer,38568.2,Seasonal Offer Applied,2026-07-20
130,43776,Promotional Campaign,29444.19,Promotional Campaign Applied,2026-07-20
131,38096,Corporate Discount,9566.9,Corporate Discount Applied,2026-07-20
132,5079,Corporate Discount,54759.33,Corporate Discount Applied,2026-07-20
133,46765,Seasonal Offer,83513.68,Seasonal Offer Applied,2026-07-20
134,19816,New Customer,2415.89,New Customer Applied,2026-07-20
135,8362,New Customer,114479.07,New Customer Applied,2026-07-20
136,34883,Corporate Discount,3449.25,Corporate Discount Applied,2026-07-20
137,3506,Festival Offer,6588.53,Festival Offer Applied,2026-07-20
138,36837,Festival Offer,1383.47,Festival Offer Applied,2026-07-20
139,34738,Corporate Discount,8271.01,Corporate Discount Applied,2026-07-20
140,17173,Festival Offer,29617.24,Festival Offer Applied,2026-07-20
141,7106,Promotional Campaign,11995.38,Promotional Campaign Applied,2026-07-20
142,8355,New Customer,5645.52,New Customer Applied,2026-07-20
143,34163,Seasonal Offer,28563.56,Seasonal Offer Applied,2026-07-20
144,49767,Seasonal Offer,960.5,Seasonal Offer Applied,2026-07-20
145,47822,New Customer,11018.65,New Customer Applied,2026-07-20
146,23109,Corporate Discount,128825.97,Corporate Discount Applied,2026-07-20
147,40323,Festival Offer,27473.94,Festival Offer Applied,2026-07-20
148,21185,Seasonal Offer,9064.88,Seasonal Offer Applied,2026-07-20
149,6695,Festival Offer,27244.5,Festival Offer Applied,2026-07-20
150,3599,Festival Offer,2991.49,Festival Offer Applied,2026-07-20
151,16615,Promotional Campaign,85847.47,Promotional Campaign Applied,2026-07-20
152,7492,New Customer,7078.74,New Customer Applied,2026-07-20
153,21105,Festival Offer,7037.81,Festival Offer Applied,2026-07-20
154,29371,Festival Offer,65945.81,Festival Offer Applied,2026-07-20
155,17655,New Customer,14501.98,New Customer Applied,2026-07-20
156,48423,Corporate Discount,50964.87,Corporate Discount Applied,2026-07-20
157,17325,Promotional Campaign,13586.48,Promotional Campaign Applied,2026-07-20
158,44023,New Customer,13121.91,New Customer Applied,2026-07-20
159,46025,Seasonal Offer,1430.88,Seasonal Offer Applied,2026-07-20
160,49901,Corporate Discount,4281.79,Corporate Discount Applied,2026-07-20
161,18258,Seasonal Offer,4645.89,Seasonal Offer Applied,2026-07-20
162,12483,Promotional Campaign,14948.9,Promotional Campaign Applied,2026-07-20
163,12973,Seasonal Offer,66625.31,Seasonal Offer Applied,2026-07-20
164,4247,New Customer,33853.74,New Customer Applied,2026-07-20
165,48321,Seasonal Offer,61483.66,Seasonal Offer Applied,2026-07-20
166,27092,Corporate Discount,42336.74,Corporate Discount Applied,2026-07-20
167,11850,Festival Offer,4240.98,Festival Offer Applied,2026-07-20
168,28695,Promotional Campaign,25622.87,Promotional Campaign Applied,2026-07-20
169,6690,Promotional Campaign,27156.17,Promotional Campaign Applied,2026-07-20
170,3881,Corporate Discount,565.27,Corporate Discount Applied,2026-07-20
171,25138,New Customer,31305.39,New Customer Applied,2026-07-20
172,28620,Seasonal Offer,34817.15,Seasonal Offer Applied,2026-07-20
173,47158,Promotional Campaign,16330.22,Promotional Campaign Applied,2026-07-20
174,33145,Corporate Discount,42716.23,Corporate Discount Applied,2026-07-20
175,24677,New Customer,51163.92,New Customer Applied,2026-07-20
176,6964,Promotional Campaign,926.19,Promotional Campaign Applied,2026-07-20
177,19614,Festival Offer,3732.75,Festival Offer Applied,2026-07-20
178,25691,New Customer,52897.92,New Customer Applied,2026-07-20
179,30434,Festival Offer,33042.88,Festival Offer Applied,2026-07-20
180,41876,Seasonal Offer,12467.32,Seasonal Offer Applied,2026-07-20
181,22601,Promotional Campaign,10238.53,Promotional Campaign Applied,2026-07-20
182,7907,Seasonal Offer,38011.64,Seasonal Offer Applied,2026-07-20
183,32048,Promotional Campaign,8616.2,Promotional Campaign Applied,2026-07-20
184,38185,Seasonal Offer,14627.1,Seasonal Offer Applied,2026-07-20
185,1670,Corporate Discount,68578.68,Corporate Discount Applied,2026-07-20
186,21483,Corporate Discount,18608.17,Corporate Discount Applied,2026-07-20
187,45886,Seasonal Offer,4727.36,Seasonal Offer Applied,2026-07-20
188,20972,Corporate Discount,59905.83,Corporate Discount Applied,2026-07-20
189,47118,Corporate Discount,10307.42,Corporate Discount Applied,2026-07-20
190,34727,Festival Offer,6483.51,Festival Offer Applied,2026-07-20
191,16343,Corporate Discount,35050.38,Corporate Discount Applied,2026-07-20
192,41905,New Customer,11698.69,New Customer Applied,2026-07-20
193,33384,Corporate Discount,4443.47,Corporate Discount Applied,2026-07-20
194,13304,Promotional Campaign,9063.26,Promotional Campaign Applied,2026-07-20
195,21573,New Customer,13499.77,New Customer Applied,2026-07-20
196,44502,Promotional Campaign,30720.14,Promotional Campaign Applied,2026-07-20
197,39387,New Customer,105365.32,New Customer Applied,2026-07-20
198,45053,Festival Offer,8194.02,Festival Offer Applied,2026-07-20
199,6739,Seasonal Offer,3228.69,Seasonal Offer Applied,2026-07-20
200,40159,New Customer,12239.98,New Customer Applied,2026-07-20
201,24180,Corporate Discount,2646.27,Corporate Discount Applied,2026-07-20
202,11660,New Customer,39111.5,New Customer Applied,2026-07-20
203,26022,Festival Offer,150.06,Festival Offer Applied,2026-07-20
204,26174,New Customer,50552.18,New Customer Applied,2026-07-20
205,15279,Festival Offer,134306.58,Festival Offer Applied,2026-07-20
206,15194,New Customer,1976.47,New Customer Applied,2026-07-20
207,3002,Seasonal Offer,32303.42,Seasonal Offer Applied,2026-07-20
208,32730,New Customer,6828.68,New Customer Applied,2026-07-20
209,28541,Corporate Discount,764.94,Corporate Discount Applied,2026-07-20
210,49887,Promotional Campaign,15407.97,Promotional Campaign Applied,2026-07-20
211,46891,Festival Offer,64685.0,Festival Offer Applied,2026-07-20
212,3329,Festival Offer,25801.05,Festival Offer Applied,2026-07-20
213,5467,Promotional Campaign,200.74,Promotional Campaign Applied,2026-07-20
214,49034,New Customer,48538.61,New Customer Applied,2026-07-20
215,14801,New Customer,6921.98,New Customer Applied,2026-07-20
216,38954,Corporate Discount,5922.52,Corporate Discount Applied,2026-07-20
217,7212,Seasonal Offer,45274.94,Seasonal Offer Applied,2026-07-20
218,46486,Corporate Discount,18031.89,Corporate Discount Applied,2026-07-20
219,9418,Corporate Discount,52411.38,Corporate Discount Applied,2026-07-20
220,29807,Corporate Discount,20456.4,Corporate Discount Applied,2026-07-20
221,4070,Seasonal Offer,9398.32,Seasonal Offer Applied,2026-07-20
222,39598,Festival Offer,48791.83,Festival Offer Applied,2026-07-20
223,21858,Festival Offer,35768.53,Festival Offer Applied,2026-07-20
224,366,Festival Offer,30908.85,Festival Offer Applied,2026-07-20
225,6370,New Customer,29919.1,New Customer Applied,2026-07-20
226,46280,Seasonal Offer,5279.49,Seasonal Offer Applied,2026-07-20
227,28213,Festival Offer,17684.92,Festival Offer Applied,2026-07-20
228,15033,New Customer,18746.52,New Customer Applied,2026-07-20
229,43021,Festival Offer,12263.23,Festival Offer Applied,2026-07-20
230,6804,Corporate Discount,13312.42,Corporate Discount Applied,2026-07-20
231,7656,New Customer,22425.2,New Customer Applied,2026-07-20
232,3273,Corporate Discount,55000.04,Corporate Discount Applied,2026-07-20
233,1301,Festival Offer,22124.01,Festival Offer Applied,2026-07-20
234,1995,Seasonal Offer,15529.31,Seasonal Offer Applied,2026-07-20
235,10645,Corporate Discount,3106.57,Corporate Discount Applied,2026-07-20
236,45659,Seasonal Offer,24014.81,Seasonal Offer Applied,2026-07-20
237,38767,Seasonal Offer,60901.07,Seasonal Offer Applied,2026-07-20
238,20127,New Customer,29326.34,New Customer Applied,2026-07-20
239,10363,Seasonal Offer,50367.54,Seasonal Offer Applied,2026-07-20
240,1757,Corporate Discount,34436.52,Corporate Discount Applied,2026-07-20
241,20519,Seasonal Offer,53190.53,Seasonal Offer Applied,2026-07-20
242,46754,Festival Offer,9740.28,Festival Offer Applied,2026-07-20
243,49784,Promotional Campaign,27360.59,Promotional Campaign Applied,2026-07-20
244,49905,Festival Offer,39026.2,Festival Offer Applied,2026-07-20
245,32123,Corporate Discount,3818.92,Corporate Discount Applied,2026-07-20
246,36109,Promotional Campaign,52818.18,Promotional Campaign Applied,2026-07-20
247,15990,Promotional Campaign,27878.56,Promotional Campaign Applied,2026-07-20
248,36931,Promotional Campaign,97857.08,Promotional Campaign Applied,2026-07-20
249,30217,Seasonal Offer,62368.9,Seasonal Offer Applied,2026-07-20
250,35064,Corporate Discount,74318.74,Corporate Discount Applied,2026-07-20
251,32845,Promotional Campaign,41859.51,Promotional Campaign Applied,2026-07-20
252,15318,Corporate Discount,70963.53,Corporate Discount Applied,2026-07-20
253,27343,New Customer,2292.25,New Customer Applied,2026-07-20
254,36133,Promotional Campaign,7134.97,Promotional Campaign Applied,2026-07-20
255,11839,Festival Offer,54295.19,Festival Offer Applied,2026-07-20
256,37831,New Customer,92919.64,New Customer Applied,2026-07-20
257,8057,Corporate Discount,4003.13,Corporate Discount Applied,2026-07-20
258,45987,Seasonal Offer,20386.7,Seasonal Offer Applied,2026-07-20
259,36183,Corporate Discount,12606.2,Corporate Discount Applied,2026-07-20
260,12239,Corporate Discount,3167.67,Corporate Discount Applied,2026-07-20
261,40287,Corporate Discount,2524.31,Corporate Discount Applied,2026-07-20
262,9743,Promotional Campaign,5747.78,Promotional Campaign Applied,2026-07-20
263,7380,Seasonal Offer,42071.53,Seasonal Offer Applied,2026-07-20
264,13828,Promotional Campaign,15934.64,Promotional Campaign Applied,2026-07-20
265,22424,New Customer,21365.14,New Customer Applied,2026-07-20
266,9899,Promotional Campaign,33089.15,Promotional Campaign Applied,2026-07-20
267,15416,Promotional Campaign,26066.03,Promotional Campaign Applied,2026-07-20
268,3883,Promotional Campaign,44055.5,Promotional Campaign Applied,2026-07-20
269,42204,New Customer,29649.12,New Customer Applied,2026-07-20
270,4261,New Customer,11687.54,New Customer Applied,2026-07-20
271,3360,Corporate Discount,12341.97,Corporate Discount Applied,2026-07-20
272,27422,Festival Offer,1108.61,Festival Offer Applied,2026-07-20
273,21421,New Customer,16655.31,New Customer Applied,2026-07-20
274,26122,Seasonal Offer,22298.43,Seasonal Offer Applied,2026-07-20
275,49535,Festival Offer,12034.41,Festival Offer Applied,2026-07-20
276,28502,Seasonal Offer,11819.15,Seasonal Offer Applied,2026-07-20
277,21280,Corporate Discount,6368.84,Corporate Discount Applied,2026-07-20
278,1696,Promotional Campaign,13807.16,Promotional Campaign Applied,2026-07-20
279,34053,Seasonal Offer,12715.84,Seasonal Offer Applied,2026-07-20
280,32585,New Customer,17856.9,New Customer Applied,2026-07-20
281,31031,Seasonal Offer,19220.91,Seasonal Offer Applied,2026-07-20
282,4666,Festival Offer,23110.26,Festival Offer Applied,2026-07-20
283,42077,Seasonal Offer,3200.15,Seasonal Offer Applied,2026-07-20
284,47000,Festival Offer,21068.55,Festival Offer Applied,2026-07-20
285,38582,Corporate Discount,121805.87,Corporate Discount Applied,2026-07-20
286,26526,Promotional Campaign,16690.13,Promotional Campaign Applied,2026-07-20
287,28417,Festival Offer,9940.51,Festival Offer Applied,2026-07-20
288,23382,Festival Offer,8968.96,Festival Offer Applied,2026-07-20
289,8880,Promotional Campaign,75116.26,Promotional Campaign Applied,2026-07-20
290,35947,Seasonal Offer,10553.78,Seasonal Offer Applied,2026-07-20
291,193,Promotional Campaign,13898.64,Promotional Campaign Applied,2026-07-20
292,22078,Corporate Discount,30073.89,Corporate Discount Applied,2026-07-20
293,10173,Corporate Discount,1802.0,Corporate Discount Applied,2026-07-20
294,42107,Promotional Campaign,1301.9,Promotional Campaign Applied,2026-07-20
295,43739,Corporate Discount,8278.77,Corporate Discount Applied,2026-07-20
296,28323,Corporate Discount,652.3,Corporate Discount Applied,2026-07-20
297,4235,Seasonal Offer,18684.3,Seasonal Offer Applied,2026-07-20
298,15705,New Customer,17294.87,New Customer Applied,2026-07-20
299,17734,Seasonal Offer,9120.02,Seasonal Offer Applied,2026-07-20
300,2022,Seasonal Offer,7385.17,Seasonal Offer Applied,2026-07-20
301,13936,Promotional Campaign,9645.77,Promotional Campaign Applied,2026-07-20
302,22575,Festival Offer,4246.29,Festival Offer Applied,2026-07-20
303,4544,Seasonal Offer,29052.93,Seasonal Offer Applied,2026-07-20
304,20013,Seasonal Offer,35179.61,Seasonal Offer Applied,2026-07-20
305,7076,Festival Offer,43303.21,Festival Offer Applied,2026-07-20
306,46725,Seasonal Offer,11135.37,Seasonal Offer Applied,2026-07-20
307,22710,Promotional Campaign,6700.54,Promotional Campaign Applied,2026-07-20
308,26832,Festival Offer,16821.54,Festival Offer Applied,2026-07-20
309,13118,Corporate Discount,85338.66,Corporate Discount Applied,2026-07-20
310,25858,Seasonal Offer,52730.17,Seasonal Offer Applied,2026-07-20
311,28917,Seasonal Offer,4782.48,Seasonal Offer Applied,2026-07-20
312,18577,Festival Offer,10256.03,Festival Offer Applied,2026-07-20
313,34882,New Customer,20835.87,New Customer Applied,2026-07-20
314,12448,New Customer,20847.7,New Customer Applied,2026-07-20
315,46870,Festival Offer,8820.18,Festival Offer Applied,2026-07-20
316,26369,Festival Offer,66941.39,Festival Offer Applied,2026-07-20
317,39256,Corporate Discount,98774.63,Corporate Discount Applied,2026-07-20
318,42161,Corporate Discount,22796.27,Corporate Discount Applied,2026-07-20
319,2448,Corporate Discount,20021.66,Corporate Discount Applied,2026-07-20
320,47919,Seasonal Offer,9784.74,Seasonal Offer Applied,2026-07-20
321,12314,Promotional Campaign,21705.56,Promotional Campaign Applied,2026-07-20
322,12893,New Customer,65181.29,New Customer Applied,2026-07-20
323,24838,Corporate Discount,33191.5,Corporate Discount Applied,2026-07-20
324,38858,Promotional Campaign,133930.07,Promotional Campaign Applied,2026-07-20
325,18846,Seasonal Offer,21428.7,Seasonal Offer Applied,2026-07-20
326,21937,Seasonal Offer,9323.95,Seasonal Offer Applied,2026-07-20
327,33074,Corporate Discount,3525.04,Corporate Discount Applied,2026-07-20
328,19555,Festival Offer,10005.23,Festival Offer Applied,2026-07-20
329,24599,Promotional Campaign,4635.66,Promotional Campaign Applied,2026-07-20
330,41210,New Customer,52962.66,New Customer Applied,2026-07-20
331,6955,Seasonal Offer,76784.89,Seasonal Offer Applied,2026-07-20
332,42863,New Customer,14166.6,New Customer Applied,2026-07-20
333,38183,Corporate Discount,2775.32,Corporate Discount Applied,2026-07-20
334,2199,Seasonal Offer,40580.24,Seasonal Offer Applied,2026-07-20
335,26360,Promotional Campaign,53287.43,Promotional Campaign Applied,2026-07-20
336,1843,New Customer,1519.37,New Customer Applied,2026-07-20
337,12339,New Customer,3228.64,New Customer Applied,2026-07-20
338,25680,Corporate Discount,26846.48,Corporate Discount Applied,2026-07-20
339,25256,New Customer,5032.14,New Customer Applied,2026-07-20
340,47902,Corporate Discount,19309.72,Corporate Discount Applied,2026-07-20
341,29761,Corporate Discount,20585.34,Corporate Discount Applied,2026-07-20
342,12749,Promotional Campaign,48775.14,Promotional Campaign Applied,2026-07-20
343,20212,Festival Offer,52039.08,Festival Offer Applied,2026-07-20
344,48513,New Customer,26442.25,New Customer Applied,2026-07-20
345,29470,Seasonal Offer,36704.8,Seasonal Offer Applied,2026-07-20
346,16148,Festival Offer,20306.54,Festival Offer Applied,2026-07-20
347,19135,Festival Offer,117092.17,Festival Offer Applied,2026-07-20
348,34703,New Customer,2996.24,New Customer Applied,2026-07-20
349,24782,Corporate Discount,10569.02,Corporate Discount Applied,2026-07-20
350,5349,Festival Offer,67062.59,Festival Offer Applied,2026-07-20
351,7481,Promotional Campaign,607.29,Promotional Campaign Applied,2026-07-20
352,48029,Festival Offer,15230.71,Festival Offer Applied,2026-07-20
353,20048,New Customer,25590.96,New Customer Applied,2026-07-20
354,32364,New Customer,26586.94,New Customer Applied,2026-07-20
355,19798,Corporate Discount,59028.07,Corporate Discount Applied,2026-07-20
356,41149,New Customer,21061.79,New Customer Applied,2026-07-20
357,29976,Festival Offer,10641.93,Festival Offer Applied,2026-07-20
358,16702,Corporate Discount,39425.94,Corporate Discount Applied,2026-07-20
359,43320,Festival Offer,38517.45,Festival Offer Applied,2026-07-20
360,10740,Seasonal Offer,10136.86,Seasonal Offer Applied,2026-07-20
361,28270,Seasonal Offer,5407.84,Seasonal Offer Applied,2026-07-20
362,18257,Corporate Discount,11036.54,Corporate Discount Applied,2026-07-20
363,28610,Festival Offer,6755.86,Festival Offer Applied,2026-07-20
364,22410,New Customer,66489.21,New Customer Applied,2026-07-20
365,25227,New Customer,10604.67,New Customer Applied,2026-07-20
366,47488,Festival Offer,7093.45,Festival Offer Applied,2026-07-20
367,13695,Promotional Campaign,11946.55,Promotional Campaign Applied,2026-07-20
368,12497,Corporate Discount,16603.08,Corporate Discount Applied,2026-07-20
369,6393,Corporate Discount,24542.92,Corporate Discount Applied,2026-07-20
370,49083,Festival Offer,10514.08,Festival Offer Applied,2026-07-20
371,33037,Festival Offer,70075.57,Festival Offer Applied,2026-07-20
372,35019,Corporate Discount,46927.29,Corporate Discount Applied,2026-07-20
373,26372,Corporate Discount,3801.96,Corporate Discount Applied,2026-07-20
374,49801,New Customer,28001.48,New Customer Applied,2026-07-20
375,11499,Corporate Discount,6420.36,Corporate Discount Applied,2026-07-20
376,27127,New Customer,3870.94,New Customer Applied,2026-07-20
377,33791,New Customer,47509.91,New Customer Applied,2026-07-20
378,36875,Promotional Campaign,52750.32,Promotional Campaign Applied,2026-07-20
379,9738,Festival Offer,12590.47,Festival Offer Applied,2026-07-20
380,30679,Corporate Discount,23762.43,Corporate Discount Applied,2026-07-20
381,4279,Promotional Campaign,10846.66,Promotional Campaign Applied,2026-07-20
382,43022,Promotional Campaign,17441.42,Promotional Campaign Applied,2026-07-20
383,7532,Seasonal Offer,42606.6,Seasonal Offer Applied,2026-07-20
384,46893,Festival Offer,18193.87,Festival Offer Applied,2026-07-20
385,23475,Festival Offer,15483.37,Festival Offer Applied,2026-07-20
386,6647,New Customer,37410.54,New Customer Applied,2026-07-20
387,14884,New Customer,18423.5,New Customer Applied,2026-07-20
388,24468,Festival Offer,2300.09,Festival Offer Applied,2026-07-20
389,31777,Seasonal Offer,31195.4,Seasonal Offer Applied,2026-07-20
390,31770,New Customer,22313.18,New Customer Applied,2026-07-20
391,6605,Promotional Campaign,1313.56,Promotional Campaign Applied,2026-07-20
392,42297,Seasonal Offer,8882.69,Seasonal Offer Applied,2026-07-20
393,23479,Festival Offer,46778.85,Festival Offer Applied,2026-07-20
394,31353,Festival Offer,27282.72,Festival Offer Applied,2026-07-20
395,40798,Festival Offer,5350.82,Festival Offer Applied,2026-07-20
396,32057,New Customer,66273.75,New Customer Applied,2026-07-20
397,5171,Seasonal Offer,18245.86,Seasonal Offer Applied,2026-07-20
