Return_ID,Return_Number,Order_ID,Return_Date,Return_Reason,Return_Status,Refund_Amount,Created_Date
24,RET000024,4947,2025-09-06,Defective Product,Approved,120771.89,2026-07-13
25,RET000025,35489,2026-06-20,Late Delivery,Approved,349447.74,2026-07-13
26,RET000026,27461,2025-08-15,Defective Product,Pending,84215.4,2026-07-13
27,RET000027,8749,2025-10-07,Defective Product,Rejected,0.0,2026-07-13
28,RET000028,12011,2025-10-16,Damaged Product,Rejected,0.0,2026-07-13
29,RET000029,35770,2025-10-14,Wrong Product Delivered,Approved,89179.41,2026-07-13
30,RET000030,49515,2025-12-21,Late Delivery,Approved,216492.73,2026-07-13
31,RET000031,29744,2025-11-29,Late Delivery,Approved,309999.64,2026-07-13
32,RET000032,34811,2025-08-22,Damaged Product,Rejected,0.0,2026-07-13
33,RET000033,38268,2025-09-20,Wrong Product Delivered,Approved,438469.76,2026-07-13
34,RET000034,29535,2025-10-31,Late Delivery,Approved,59599.43,2026-07-13
35,RET000035,14291,2026-06-15,Defective Product,Approved,11715.23,2026-07-13
36,RET000036,12292,2026-05-20,Defective Product,Approved,31053.12,2026-07-13
37,RET000037,5970,2025-08-15,Damaged Product,Pending,18635.22,2026-07-13
38,RET000038,23651,2025-10-27,Defective Product,Pending,27735.72,2026-07-13
39,RET000039,13549,2026-06-01,Damaged Product,Pending,177190.45,2026-07-13
40,RET000040,25393,2026-02-15,Late Delivery,Approved,66930.89,2026-07-13
41,RET000041,17635,2026-04-15,Damaged Product,Pending,50516.85,2026-07-13
42,RET000042,28223,2026-05-03,Defective Product,Pending,39097.35,2026-07-13
43,RET000043,15471,2025-07-27,Wrong Product Delivered,Rejected,0.0,2026-07-13
44,RET000044,45096,2025-10-15,Defective Product,Pending,29713.6,2026-07-13
45,RET000045,36464,2026-01-04,Late Delivery,Rejected,0.0,2026-07-13
46,RET000046,28987,2025-12-16,Damaged Product,Approved,90287.38,2026-07-13
47,RET000047,19906,2026-01-08,Customer Changed Mind,Pending,167151.71,2026-07-13
48,RET000048,26442,2026-04-10,Damaged Product,Pending,27387.58,2026-07-13
49,RET000049,22172,2025-12-23,Customer Changed Mind,Rejected,0.0,2026-07-13
50,RET000050,12885,2026-05-13,Customer Changed Mind,Approved,61910.7,2026-07-13
51,RET000051,25482,2026-04-24,Customer Changed Mind,Pending,6928.62,2026-07-13
52,RET000052,393,2025-10-28,Customer Changed Mind,Approved,82466.94,2026-07-13
53,RET000053,24610,2025-09-09,Late Delivery,Pending,60301.66,2026-07-13
54,RET000054,1325,2026-02-09,Wrong Product Delivered,Rejected,0.0,2026-07-13
55,RET000055,38409,2025-07-28,Late Delivery,Approved,62126.99,2026-07-13
56,RET000056,11574,2026-04-06,Defective Product,Pending,104734.91,2026-07-13
57,RET000057,21990,2025-07-18,Late Delivery,Rejected,0.0,2026-07-13
58,RET000058,18123,2026-04-03,Late Delivery,Rejected,0.0,2026-07-13
59,RET000059,20046,2026-04-06,Wrong Product Delivered,Approved,459311.89,2026-07-13
60,RET000060,34390,2025-10-01,Wrong Product Delivered,Pending,28363.93,2026-07-13
61,RET000061,36620,2026-06-16,Defective Product,Approved,200335.91,2026-07-13
62,RET000062,4185,2026-05-27,Late Delivery,Approved,67899.49,2026-07-13
63,RET000063,14367,2026-06-15,Customer Changed Mind,Pending,199486.3,2026-07-13
64,RET000064,37581,2025-09-04,Late Delivery,Pending,89579.28,2026-07-13
65,RET000065,48610,2026-03-25,Damaged Product,Pending,8939.74,2026-07-13
66,RET000066,13212,2026-03-04,Wrong Product Delivered,Rejected,0.0,2026-07-13
67,RET000067,9322,2026-03-16,Defective Product,Rejected,0.0,2026-07-13
68,RET000068,38919,2025-09-04,Customer Changed Mind,Pending,34404.01,2026-07-13
69,RET000069,22311,2025-07-30,Wrong Product Delivered,Approved,95320.31,2026-07-13
70,RET000070,36581,2025-10-24,Defective Product,Pending,28986.69,2026-07-13
71,RET000071,43701,2025-11-23,Damaged Product,Approved,147973.62,2026-07-13
72,RET000072,5109,2025-08-10,Damaged Product,Approved,51843.07,2026-07-13
73,RET000073,10683,2025-12-30,Customer Changed Mind,Pending,213988.76,2026-07-13
74,RET000074,49007,2025-07-23,Damaged Product,Rejected,0.0,2026-07-13
75,RET000075,15215,2025-09-02,Customer Changed Mind,Rejected,0.0,2026-07-13
76,RET000076,3197,2026-05-25,Damaged Product,Pending,240521.72,2026-07-13
77,RET000077,29731,2026-04-16,Damaged Product,Approved,577503.95,2026-07-13
78,RET000078,7207,2026-02-16,Wrong Product Delivered,Pending,132132.26,2026-07-13
79,RET000079,3798,2025-08-13,Late Delivery,Approved,15967.31,2026-07-13
80,RET000080,38700,2025-07-17,Late Delivery,Rejected,0.0,2026-07-13
81,RET000081,22859,2025-12-28,Late Delivery,Approved,303261.74,2026-07-13
82,RET000082,39082,2026-06-28,Customer Changed Mind,Rejected,0.0,2026-07-13
83,RET000083,12198,2026-06-10,Late Delivery,Approved,125304.29,2026-07-13
84,RET000084,27035,2026-03-06,Damaged Product,Pending,27523.2,2026-07-13
85,RET000085,43195,2025-10-07,Damaged Product,Approved,108530.98,2026-07-13
86,RET000086,35542,2026-07-01,Defective Product,Approved,167592.55,2026-07-13
87,RET000087,10912,2025-10-23,Wrong Product Delivered,Approved,108617.28,2026-07-13
88,RET000088,12553,2026-07-04,Wrong Product Delivered,Pending,7096.72,2026-07-13
89,RET000089,14150,2026-06-16,Damaged Product,Approved,106859.18,2026-07-13
90,RET000090,44894,2025-08-03,Damaged Product,Approved,17263.17,2026-07-13
91,RET000091,39476,2025-10-02,Damaged Product,Pending,18349.19,2026-07-13
92,RET000092,36652,2026-01-02,Wrong Product Delivered,Pending,20867.46,2026-07-13
93,RET000093,27384,2025-07-15,Defective Product,Pending,48977.77,2026-07-13
94,RET000094,38460,2025-08-11,Defective Product,Approved,135843.75,2026-07-13
95,RET000095,4467,2025-10-22,Damaged Product,Rejected,0.0,2026-07-13
96,RET000096,38862,2026-01-15,Late Delivery,Pending,102085.66,2026-07-13
97,RET000097,31061,2025-07-22,Defective Product,Rejected,0.0,2026-07-13
98,RET000098,36036,2026-05-29,Damaged Product,Approved,61717.09,2026-07-13
99,RET000099,46355,2026-06-21,Damaged Product,Approved,32015.84,2026-07-13
100,RET000100,12938,2025-12-15,Wrong Product Delivered,Approved,587358.04,2026-07-13
101,RET000101,15922,2025-08-11,Wrong Product Delivered,Pending,26997.53,2026-07-13
102,RET000102,41572,2025-12-08,Damaged Product,Rejected,0.0,2026-07-13
103,RET000103,2348,2025-08-11,Defective Product,Pending,17148.49,2026-07-13
104,RET000104,49297,2025-07-16,Wrong Product Delivered,Rejected,0.0,2026-07-13
105,RET000105,22302,2025-08-27,Wrong Product Delivered,Approved,79672.0,2026-07-13
106,RET000106,33506,2026-05-04,Damaged Product,Pending,23687.71,2026-07-13
107,RET000107,27881,2025-11-01,Late Delivery,Rejected,0.0,2026-07-13
108,RET000108,36448,2026-02-07,Late Delivery,Pending,26464.2,2026-07-13
109,RET000109,1150,2026-03-08,Damaged Product,Pending,6183.96,2026-07-13
110,RET000110,43649,2026-01-07,Wrong Product Delivered,Pending,95930.22,2026-07-13
111,RET000111,42827,2026-04-23,Damaged Product,Approved,83496.44,2026-07-13
112,RET000112,10431,2025-11-27,Defective Product,Approved,36189.08,2026-07-13
113,RET000113,42730,2025-11-06,Defective Product,Rejected,0.0,2026-07-13
114,RET000114,42524,2025-07-22,Late Delivery,Pending,44792.78,2026-07-13
115,RET000115,14617,2026-04-19,Customer Changed Mind,Pending,59552.44,2026-07-13
116,RET000116,20143,2025-12-20,Defective Product,Pending,75855.63,2026-07-13
117,RET000117,28853,2025-09-09,Customer Changed Mind,Pending,67514.72,2026-07-13
118,RET000118,12661,2026-06-06,Customer Changed Mind,Rejected,0.0,2026-07-13
119,RET000119,5204,2026-02-10,Damaged Product,Approved,274334.67,2026-07-13
120,RET000120,37620,2025-08-21,Late Delivery,Approved,41942.65,2026-07-13
121,RET000121,39758,2026-04-03,Defective Product,Approved,64328.69,2026-07-13
122,RET000122,46997,2026-05-16,Late Delivery,Pending,70111.57,2026-07-13
123,RET000123,13599,2026-01-27,Wrong Product Delivered,Approved,292392.37,2026-07-13
124,RET000124,46167,2026-05-12,Customer Changed Mind,Approved,9866.78,2026-07-13
125,RET000125,26761,2025-10-30,Defective Product,Pending,65926.12,2026-07-13
126,RET000126,2551,2025-11-16,Damaged Product,Approved,110494.41,2026-07-13
127,RET000127,24113,2026-04-21,Late Delivery,Pending,184645.65,2026-07-13
128,RET000128,17393,2025-08-27,Damaged Product,Rejected,0.0,2026-07-13
129,RET000129,26145,2026-06-18,Late Delivery,Pending,7224.03,2026-07-13
130,RET000130,44756,2025-07-27,Defective Product,Pending,1689.88,2026-07-13
131,RET000131,29712,2025-12-26,Customer Changed Mind,Pending,55856.75,2026-07-13
132,RET000132,35334,2026-06-19,Defective Product,Approved,64557.24,2026-07-13
133,RET000133,34138,2025-09-23,Damaged Product,Rejected,0.0,2026-07-13
134,RET000134,16039,2026-06-10,Customer Changed Mind,Rejected,0.0,2026-07-13
135,RET000135,49306,2026-01-14,Late Delivery,Pending,221059.57,2026-07-13
136,RET000136,40633,2025-08-15,Customer Changed Mind,Rejected,0.0,2026-07-13
137,RET000137,18496,2026-04-30,Late Delivery,Pending,117891.73,2026-07-13
138,RET000138,27721,2026-06-18,Wrong Product Delivered,Approved,178875.12,2026-07-13
139,RET000139,21259,2025-10-11,Defective Product,Pending,158281.56,2026-07-13
140,RET000140,5491,2025-10-06,Damaged Product,Rejected,0.0,2026-07-13
141,RET000141,7420,2025-08-29,Late Delivery,Rejected,0.0,2026-07-13
142,RET000142,27542,2026-03-07,Damaged Product,Approved,150740.77,2026-07-13
143,RET000143,20717,2026-06-05,Customer Changed Mind,Pending,16830.99,2026-07-13
144,RET000144,37511,2025-08-14,Late Delivery,Approved,40658.72,2026-07-13
145,RET000145,2255,2026-06-29,Defective Product,Pending,7764.39,2026-07-13
146,RET000146,44361,2026-03-28,Customer Changed Mind,Rejected,0.0,2026-07-13
147,RET000147,48029,2026-02-11,Damaged Product,Pending,31993.99,2026-07-13
148,RET000148,19824,2025-11-28,Defective Product,Approved,178472.71,2026-07-13
149,RET000149,24745,2026-02-07,Damaged Product,Pending,21763.71,2026-07-13
150,RET000150,44063,2025-11-01,Damaged Product,Approved,247020.49,2026-07-13
151,RET000151,38709,2025-09-03,Wrong Product Delivered,Rejected,0.0,2026-07-13
152,RET000152,41343,2026-03-20,Wrong Product Delivered,Rejected,0.0,2026-07-13
153,RET000153,25586,2025-10-17,Wrong Product Delivered,Rejected,0.0,2026-07-13
154,RET000154,2157,2025-09-28,Customer Changed Mind,Rejected,0.0,2026-07-13
155,RET000155,12435,2025-12-11,Customer Changed Mind,Pending,458933.92,2026-07-13
156,RET000156,18142,2025-08-21,Customer Changed Mind,Approved,111670.54,2026-07-13
157,RET000157,14011,2026-05-15,Late Delivery,Approved,236983.96,2026-07-13
158,RET000158,31850,2026-06-13,Damaged Product,Approved,222542.43,2026-07-13
159,RET000159,44095,2025-09-29,Late Delivery,Rejected,0.0,2026-07-13
160,RET000160,5029,2026-01-10,Damaged Product,Approved,21818.16,2026-07-13
161,RET000161,25734,2025-11-30,Defective Product,Rejected,0.0,2026-07-13
162,RET000162,37080,2026-06-25,Customer Changed Mind,Rejected,0.0,2026-07-13
163,RET000163,49840,2026-06-01,Damaged Product,Pending,186633.97,2026-07-13
164,RET000164,13810,2025-11-19,Late Delivery,Pending,22576.62,2026-07-13
165,RET000165,32025,2025-12-15,Damaged Product,Pending,206223.32,2026-07-13
166,RET000166,27610,2026-06-13,Defective Product,Approved,51858.93,2026-07-13
167,RET000167,18189,2026-05-02,Defective Product,Rejected,0.0,2026-07-13
168,RET000168,13928,2025-11-19,Wrong Product Delivered,Approved,37267.08,2026-07-13
169,RET000169,814,2025-08-11,Customer Changed Mind,Rejected,0.0,2026-07-13
170,RET000170,16757,2025-08-13,Defective Product,Approved,176033.58,2026-07-13
171,RET000171,37128,2025-09-06,Late Delivery,Rejected,0.0,2026-07-13
172,RET000172,11428,2026-06-27,Late Delivery,Rejected,0.0,2026-07-13
173,RET000173,16325,2026-05-05,Wrong Product Delivered,Pending,356445.91,2026-07-13
174,RET000174,31492,2025-08-14,Wrong Product Delivered,Approved,297435.15,2026-07-13
175,RET000175,46675,2026-01-10,Wrong Product Delivered,Pending,46650.57,2026-07-13
176,RET000176,31958,2025-12-14,Damaged Product,Rejected,0.0,2026-07-13
177,RET000177,8138,2025-08-13,Damaged Product,Approved,170931.28,2026-07-13
178,RET000178,32959,2026-07-02,Defective Product,Approved,99655.82,2026-07-13
179,RET000179,3751,2026-02-21,Damaged Product,Approved,66615.26,2026-07-13
180,RET000180,25613,2025-09-25,Damaged Product,Pending,2205.37,2026-07-13
181,RET000181,13478,2025-11-28,Late Delivery,Pending,322744.39,2026-07-13
182,RET000182,16557,2025-09-13,Customer Changed Mind,Rejected,0.0,2026-07-13
183,RET000183,47824,2026-04-07,Defective Product,Rejected,0.0,2026-07-13
184,RET000184,33312,2025-12-13,Late Delivery,Rejected,0.0,2026-07-13
185,RET000185,31319,2025-10-14,Late Delivery,Approved,123314.34,2026-07-13
186,RET000186,12898,2026-07-08,Wrong Product Delivered,Pending,74895.49,2026-07-13
187,RET000187,37032,2026-03-11,Late Delivery,Rejected,0.0,2026-07-13
188,RET000188,34648,2026-05-12,Defective Product,Pending,175235.23,2026-07-13
189,RET000189,27443,2025-10-02,Customer Changed Mind,Approved,155077.45,2026-07-13
190,RET000190,26872,2026-04-18,Wrong Product Delivered,Approved,318022.3,2026-07-13
191,RET000191,27271,2025-09-24,Late Delivery,Approved,4459.67,2026-07-13
192,RET000192,2578,2026-02-06,Damaged Product,Pending,74109.85,2026-07-13
193,RET000193,38701,2026-03-07,Defective Product,Approved,162301.33,2026-07-13
194,RET000194,9389,2025-12-02,Defective Product,Rejected,0.0,2026-07-13
195,RET000195,8317,2025-12-23,Customer Changed Mind,Rejected,0.0,2026-07-13
196,RET000196,33333,2026-03-01,Wrong Product Delivered,Pending,27732.82,2026-07-13
197,RET000197,41613,2026-01-08,Customer Changed Mind,Rejected,0.0,2026-07-13
198,RET000198,19672,2026-01-22,Customer Changed Mind,Rejected,0.0,2026-07-13
199,RET000199,6259,2026-06-02,Customer Changed Mind,Approved,185241.83,2026-07-13
200,RET000200,27043,2026-02-15,Customer Changed Mind,Approved,76670.16,2026-07-13
201,RET000201,25212,2026-04-15,Wrong Product Delivered,Rejected,0.0,2026-07-13
202,RET000202,12772,2025-11-12,Defective Product,Approved,281308.43,2026-07-13
203,RET000203,24244,2025-12-20,Damaged Product,Pending,62592.77,2026-07-13
204,RET000204,2735,2026-03-12,Wrong Product Delivered,Rejected,0.0,2026-07-13
205,RET000205,38892,2025-08-16,Wrong Product Delivered,Pending,362284.47,2026-07-13
206,RET000206,27049,2026-01-15,Customer Changed Mind,Approved,51557.2,2026-07-13
207,RET000207,38812,2025-12-14,Defective Product,Approved,103024.23,2026-07-13
208,RET000208,21208,2026-05-04,Customer Changed Mind,Pending,96646.37,2026-07-13
209,RET000209,4696,2026-02-20,Damaged Product,Rejected,0.0,2026-07-13
210,RET000210,26802,2025-09-11,Customer Changed Mind,Approved,103400.54,2026-07-13
211,RET000211,27200,2025-08-09,Customer Changed Mind,Pending,258927.76,2026-07-13
212,RET000212,43476,2026-02-03,Damaged Product,Rejected,0.0,2026-07-13
213,RET000213,3700,2025-09-19,Customer Changed Mind,Rejected,0.0,2026-07-13
214,RET000214,40047,2026-02-07,Wrong Product Delivered,Rejected,0.0,2026-07-13
215,RET000215,1309,2026-03-22,Late Delivery,Pending,122529.83,2026-07-13
216,RET000216,1545,2025-11-04,Late Delivery,Rejected,0.0,2026-07-13
217,RET000217,2376,2025-10-23,Damaged Product,Approved,74130.27,2026-07-13
218,RET000218,39244,2026-03-12,Late Delivery,Approved,147475.26,2026-07-13
219,RET000219,47241,2025-12-20,Defective Product,Approved,52885.15,2026-07-13
220,RET000220,29673,2026-05-05,Wrong Product Delivered,Rejected,0.0,2026-07-13
221,RET000221,27945,2026-04-14,Customer Changed Mind,Rejected,0.0,2026-07-13
222,RET000222,22091,2025-12-04,Wrong Product Delivered,Pending,113695.51,2026-07-13
223,RET000223,41980,2026-01-22,Defective Product,Rejected,0.0,2026-07-13
224,RET000224,28958,2026-05-07,Late Delivery,Approved,24826.38,2026-07-13
225,RET000225,32140,2026-02-28,Defective Product,Approved,192513.88,2026-07-13
226,RET000226,28109,2025-07-18,Wrong Product Delivered,Pending,127811.27,2026-07-13
227,RET000227,23640,2026-04-18,Late Delivery,Rejected,0.0,2026-07-13
228,RET000228,17692,2025-09-22,Late Delivery,Approved,171281.69,2026-07-13
229,RET000229,38266,2025-08-22,Wrong Product Delivered,Approved,124238.87,2026-07-13
230,RET000230,39807,2025-10-30,Wrong Product Delivered,Rejected,0.0,2026-07-13
231,RET000231,28918,2025-09-28,Customer Changed Mind,Approved,93355.21,2026-07-13
232,RET000232,22853,2026-01-19,Wrong Product Delivered,Approved,81947.07,2026-07-13
233,RET000233,34057,2026-04-16,Damaged Product,Approved,50881.71,2026-07-13
234,RET000234,14180,2026-02-13,Wrong Product Delivered,Rejected,0.0,2026-07-13
235,RET000235,44611,2026-07-03,Defective Product,Rejected,0.0,2026-07-13
236,RET000236,38487,2025-11-09,Customer Changed Mind,Rejected,0.0,2026-07-13
237,RET000237,42509,2025-10-19,Defective Product,Approved,217014.38,2026-07-13
238,RET000238,29251,2025-10-26,Damaged Product,Pending,146324.47,2026-07-13
239,RET000239,20340,2025-12-20,Defective Product,Pending,159138.69,2026-07-13
240,RET000240,21556,2025-07-20,Customer Changed Mind,Rejected,0.0,2026-07-13
241,RET000241,27548,2026-07-05,Wrong Product Delivered,Rejected,0.0,2026-07-13
242,RET000242,45266,2026-06-29,Damaged Product,Approved,147703.21,2026-07-13
243,RET000243,16570,2025-09-11,Defective Product,Rejected,0.0,2026-07-13
244,RET000244,35605,2026-03-13,Defective Product,Rejected,0.0,2026-07-13
245,RET000245,25287,2026-06-10,Customer Changed Mind,Pending,38614.39,2026-07-13
246,RET000246,36595,2026-07-11,Wrong Product Delivered,Pending,360758.64,2026-07-13
247,RET000247,30208,2025-12-29,Damaged Product,Pending,162246.53,2026-07-13
248,RET000248,29330,2025-09-26,Damaged Product,Pending,183027.37,2026-07-13
249,RET000249,49146,2026-02-17,Wrong Product Delivered,Rejected,0.0,2026-07-13
250,RET000250,917,2026-05-23,Defective Product,Approved,331640.67,2026-07-13
251,RET000251,11599,2026-03-01,Wrong Product Delivered,Rejected,0.0,2026-07-13
252,RET000252,27038,2025-08-06,Damaged Product,Rejected,0.0,2026-07-13
253,RET000253,4389,2026-06-23,Customer Changed Mind,Rejected,0.0,2026-07-13
254,RET000254,33489,2026-01-08,Late Delivery,Approved,137139.24,2026-07-13
255,RET000255,8097,2025-10-05,Customer Changed Mind,Rejected,0.0,2026-07-13
256,RET000256,15622,2026-01-13,Customer Changed Mind,Pending,175444.02,2026-07-13
257,RET000257,8342,2025-09-29,Damaged Product,Rejected,0.0,2026-07-13
258,RET000258,35309,2025-10-25,Defective Product,Approved,7733.25,2026-07-13
259,RET000259,6660,2025-08-07,Defective Product,Pending,38600.36,2026-07-13
260,RET000260,48034,2026-02-07,Late Delivery,Pending,92672.49,2026-07-13
261,RET000261,6524,2026-05-10,Damaged Product,Approved,242319.8,2026-07-13
262,RET000262,29152,2026-01-02,Wrong Product Delivered,Rejected,0.0,2026-07-13
263,RET000263,23609,2026-04-11,Late Delivery,Approved,96877.72,2026-07-13
264,RET000264,40372,2025-07-21,Wrong Product Delivered,Pending,6422.6,2026-07-13
265,RET000265,11016,2025-12-27,Wrong Product Delivered,Pending,199850.85,2026-07-13
266,RET000266,13823,2025-09-12,Wrong Product Delivered,Pending,33767.99,2026-07-13
267,RET000267,40420,2025-08-03,Damaged Product,Rejected,0.0,2026-07-13
268,RET000268,1873,2025-11-24,Defective Product,Rejected,0.0,2026-07-13
269,RET000269,36619,2025-09-02,Late Delivery,Pending,1755.06,2026-07-13
270,RET000270,31602,2025-07-12,Late Delivery,Pending,16483.05,2026-07-13
271,RET000271,18022,2025-09-24,Damaged Product,Approved,416850.28,2026-07-13
272,RET000272,18044,2026-05-25,Late Delivery,Rejected,0.0,2026-07-13
273,RET000273,26679,2025-07-27,Late Delivery,Pending,4358.46,2026-07-13
274,RET000274,20025,2026-01-31,Damaged Product,Pending,366839.16,2026-07-13
275,RET000275,33067,2025-11-01,Late Delivery,Approved,45216.2,2026-07-13
276,RET000276,12638,2025-10-15,Defective Product,Approved,137185.34,2026-07-13
277,RET000277,19684,2025-11-24,Customer Changed Mind,Rejected,0.0,2026-07-13
278,RET000278,291,2026-07-09,Late Delivery,Pending,286695.24,2026-07-13
279,RET000279,15210,2025-07-14,Damaged Product,Rejected,0.0,2026-07-13
280,RET000280,8956,2026-03-26,Defective Product,Pending,305156.01,2026-07-13
281,RET000281,15677,2026-05-20,Late Delivery,Rejected,0.0,2026-07-13
282,RET000282,25398,2026-06-07,Customer Changed Mind,Rejected,0.0,2026-07-13
283,RET000283,11017,2025-10-31,Wrong Product Delivered,Rejected,0.0,2026-07-13
284,RET000284,37966,2026-05-22,Wrong Product Delivered,Pending,34271.32,2026-07-13
285,RET000285,12850,2025-09-09,Late Delivery,Pending,34672.92,2026-07-13
286,RET000286,11900,2026-01-11,Late Delivery,Approved,271090.32,2026-07-13
287,RET000287,15797,2025-07-23,Defective Product,Rejected,0.0,2026-07-13
288,RET000288,42712,2025-08-20,Defective Product,Approved,53599.97,2026-07-13
289,RET000289,11379,2025-10-13,Damaged Product,Rejected,0.0,2026-07-13
290,RET000290,33849,2026-05-22,Customer Changed Mind,Rejected,0.0,2026-07-13
291,RET000291,7956,2026-03-07,Customer Changed Mind,Rejected,0.0,2026-07-13
292,RET000292,48461,2025-12-22,Late Delivery,Pending,264020.49,2026-07-13
293,RET000293,31644,2025-10-06,Defective Product,Rejected,0.0,2026-07-13
294,RET000294,3166,2025-12-27,Customer Changed Mind,Rejected,0.0,2026-07-13
295,RET000295,2692,2025-12-24,Defective Product,Approved,132117.11,2026-07-13
296,RET000296,20858,2026-03-07,Defective Product,Rejected,0.0,2026-07-13
297,RET000297,18991,2025-12-24,Wrong Product Delivered,Rejected,0.0,2026-07-13
298,RET000298,47946,2026-04-05,Late Delivery,Rejected,0.0,2026-07-13
299,RET000299,42191,2025-11-10,Late Delivery,Pending,340114.49,2026-07-13
300,RET000300,47698,2026-05-25,Defective Product,Approved,15540.99,2026-07-13
301,RET000301,28076,2025-09-11,Damaged Product,Pending,38903.87,2026-07-13
302,RET000302,5416,2026-03-27,Late Delivery,Approved,333259.85,2026-07-13
303,RET000303,57,2026-03-13,Customer Changed Mind,Pending,59226.13,2026-07-13
304,RET000304,32650,2025-12-04,Damaged Product,Rejected,0.0,2026-07-13
305,RET000305,620,2026-03-11,Customer Changed Mind,Pending,44603.92,2026-07-13
306,RET000306,26800,2026-06-11,Late Delivery,Rejected,0.0,2026-07-13
307,RET000307,37976,2025-09-28,Customer Changed Mind,Approved,147497.78,2026-07-13
308,RET000308,41247,2025-07-13,Late Delivery,Pending,169904.09,2026-07-13
309,RET000309,26439,2025-07-13,Defective Product,Approved,48513.13,2026-07-13
310,RET000310,33561,2026-01-07,Damaged Product,Rejected,0.0,2026-07-13
311,RET000311,46690,2026-02-05,Customer Changed Mind,Rejected,0.0,2026-07-13
312,RET000312,30721,2025-08-17,Late Delivery,Approved,264276.61,2026-07-13
313,RET000313,23480,2025-08-03,Defective Product,Rejected,0.0,2026-07-13
314,RET000314,46715,2025-09-03,Defective Product,Pending,89827.97,2026-07-13
315,RET000315,28741,2026-03-25,Customer Changed Mind,Pending,196569.75,2026-07-13
316,RET000316,28649,2026-01-22,Customer Changed Mind,Approved,7712.77,2026-07-13
317,RET000317,7954,2026-01-19,Customer Changed Mind,Rejected,0.0,2026-07-13
318,RET000318,22056,2026-02-18,Late Delivery,Rejected,0.0,2026-07-13
319,RET000319,24632,2025-08-02,Customer Changed Mind,Approved,63691.58,2026-07-13
320,RET000320,26136,2026-06-20,Late Delivery,Approved,63051.25,2026-07-13
321,RET000321,1269,2025-11-10,Wrong Product Delivered,Rejected,0.0,2026-07-13
322,RET000322,24776,2025-08-12,Defective Product,Pending,95451.36,2026-07-13
323,RET000323,16682,2026-01-26,Customer Changed Mind,Pending,148677.63,2026-07-13
324,RET000324,14055,2025-11-12,Damaged Product,Rejected,0.0,2026-07-13
325,RET000325,24714,2025-12-25,Defective Product,Rejected,0.0,2026-07-13
326,RET000326,41837,2025-10-06,Late Delivery,Approved,130151.49,2026-07-13
327,RET000327,3573,2026-04-12,Defective Product,Pending,14284.05,2026-07-13
328,RET000328,7812,2025-09-30,Wrong Product Delivered,Rejected,0.0,2026-07-13
329,RET000329,23708,2025-11-22,Late Delivery,Rejected,0.0,2026-07-13
330,RET000330,35541,2025-09-21,Late Delivery,Rejected,0.0,2026-07-13
331,RET000331,48797,2026-04-05,Damaged Product,Pending,4513.07,2026-07-13
332,RET000332,44372,2026-06-13,Defective Product,Rejected,0.0,2026-07-13
333,RET000333,28261,2026-03-05,Defective Product,Approved,177471.67,2026-07-13
334,RET000334,6695,2025-10-02,Damaged Product,Pending,56303.41,2026-07-13
335,RET000335,24765,2025-08-07,Wrong Product Delivered,Rejected,0.0,2026-07-13
336,RET000336,25878,2026-05-02,Damaged Product,Pending,225476.02,2026-07-13
337,RET000337,26726,2025-10-17,Late Delivery,Approved,77526.98,2026-07-13
338,RET000338,28890,2026-05-11,Wrong Product Delivered,Rejected,0.0,2026-07-13
339,RET000339,16779,2025-12-18,Damaged Product,Rejected,0.0,2026-07-13
